BIBTEXKEY;TITLE;DOI;citations
PUB00054515;Ecologisation de la politique européenne de l&#8217;10.3917/poeu.055.0036;
PUB00054607;Comportement des propriétaires forestiers landais vis-à-vis du bois énergie : Une analyse micro-économique;10.4000/economierurale.5176;
PUB00054783;La catégorisation politique des eaux sous l'angle de la political ecology : le patrimoine piscicole et la pollution en France;10.3917/eg.463.0214;
PUB00054812;Sensitivity Analysis of Topological Subgraphs within Water Distribution Systems;10.1016/j.proeng.2017.03.239;
PUB00054865;Épizooties et efficacité des processus de décision : un exemple en apiculture;10.3917/rfe.172.0160;
PUB00054931;Quand la science construit des problèmes exemplaires;???;0
PUB00055293;Towards resilient water networks by using resilience key performance indicators;hal-01582554;3
PUB00055297;Criticality Index for Resilience Analysis of Water Distribution Networks in a Context of Mechanical Failures;hal-01582557;2
PUB00055571;The end of happy days: how Irish forest stakeholders are moving from risk denial to climatic adaptive strategies.;???;0
PUB00056223;Environmental concerns in political bioeconomy discourses;10.1505/146554817822407420;
PUB00056232;Comment l'approche écosystémique reconfigure l'interface science/politique dans la planification stratégique de l'eau sur l'estuaire de la Gironde;hal-01767420;
PUB00056335;Assessing residents' preferences for sewer network asset management in France;10.1504/IJETM.2017.089644;
PUB00056357;Cost benefit analysis for water network resilience assessment;???;0
PUB00056416;Une meilleure gestion patrimoniale des réseaux d'eau potable : le modèle de prévision du renouvellement à long terme Optimeau;hal-01167672;0
PUB00056498;Le consentement à recevoir des agriculteurs français pour plus de flexibilité : cas des contrats agri-environnementaux à enjeu eau;hal-01768542;
PUB00056523;The Calanques National Park: between environmental effort and urban effort;10.4000/articulo.3252;
PUB00056780;Repenser les territoires du bois énergie;???;0
PUB00056887;Évaluation des préférences pour le caractère concerté d'une politique : le cas de la relocalisation des biens face à la montée du niveau de la mer;hal-01771995;
PUB00057089;Les territoires garonnais face aux changements globaux : quatre adaptations possibles en 2050;10.4000/soe.3342;
PUB00057257;Entre environnement, marché, territoire : agriculteurs en quête de sens pour leur métier;10.3917/rfs.524.0691;
PUB00060369;L'accès à l'eau pour tous en France ou la trajectoire erratique d'un problème de second rang (1984-2016);10.7202/1053660ar;
PUB00060483;Valeur touristique des aménités environnementales et nuisances associées aux infrastructures d'énergie re-nouvelable : une approche hédonique spatiale;???;0
PUB00054861;N'oublions pas le futur : Valeurs, justice et taux d'actualisation;???;9
PUB00058022;A Greedy Scheduling of Post-Disaster Response and Restoration using Pressure-Driven Models and Graph Segment Analysis;???;1
PUB00058023;A Hybrid Method for Calibration of Unknown Partially/Fully Closed Valves in Water Distribution Systems;???;0
PUB00058044;Évaluation des risques de contamination des eaux de surface par les produits phytosanitaires : application à un bassin versant viticole (projet PhytoCOTE);hal-01890946;
PUB00058846;Consommation énergétique des filières intensives de traitement des eaux résiduaires urbaines;hal-01915843;
PUB00058921;Asset management of water and sewer networks, and levees: recent approaches and current considerations;hal-01951181;
PUB00059133;Glacis mémoriels en Médoc;hal-02269676;
