Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SCIE Selected Categories: 'AGRICULTURAL ENGINEERING' Selected Category Scheme: WoS,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,BIORESOURCE TECHNOLOGY,"131,781",7.539,0.108190
2,INDUSTRIAL CROPS AND PRODUCTS,"29,322",4.244,0.033100
3,BIOMASS & BIOENERGY,"20,982",3.551,0.015630
4,BIOSYSTEMS ENGINEERING,"7,192",3.215,0.006510
5,AQUACULTURAL ENGINEERING,"2,517",2.638,0.001280
6,International Journal of Agricultural and Biological Engineering,"1,470",1.731,0.002070
7,JOURNAL OF IRRIGATION AND DRAINAGE ENGINEERING,"3,870",1.409,0.002170
8,Paddy and Water Environment,949,1.262,0.001090
9,Transactions of the ASABE,"10,481",1.156,0.003100
10,APPLIED ENGINEERING IN AGRICULTURE,"2,159",0.973,0.001100
11,Revista Brasileira de Engenharia Agricola e Ambiental,"1,865",0.654,0.001830
12,Engenharia Agricola,960,0.603,0.001010
13,AMA-Agricultural Mechanization in Asia Africa and Latin America,192,0.170,0.000080
Copyright © 2020 Clarivate Analytics,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,
