"Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SCIE Selected Categories: 'AGRICULTURE, MULTIDISCIPLINARY' Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,PRECISION AGRICULTURE,"2,716",4.454,0.002450
2,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,"23,560",4.241,0.025300
3,AGRICULTURAL SYSTEMS,"6,916",4.212,0.008210
4,JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY,"118,586",4.192,0.063680
5,COMPUTERS AND ELECTRONICS IN AGRICULTURE,"11,524",3.858,0.011970
6,BIOSYSTEMS ENGINEERING,"7,192",3.215,0.006510
7,Chemical and Biological Technologies in Agriculture,392,2.929,0.000820
8,JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE,"25,333",2.614,0.018330
9,AGRICULTURE AND HUMAN VALUES,"2,642",2.442,0.002870
10,International Journal of Agricultural Sustainability,987,2.278,0.001150
11,RENEWABLE AGRICULTURE AND FOOD SYSTEMS,"1,368",2.188,0.001400
12,ANNALS OF APPLIED BIOLOGY,"5,095",2.037,0.002620
13,Journal of Integrative Agriculture,"3,588",1.984,0.006850
14,Agroecology and Sustainable Food Systems,641,1.636,0.001350
15,SCIENTIA AGRICOLA,"2,640",1.625,0.002060
16,NJAS-WAGENINGEN JOURNAL OF LIFE SCIENCES,"1,124",1.608,0.000840
17,Crop & Pasture Science,"2,117",1.570,0.003360
17,Plant Pathology Journal,"1,127",1.570,0.001500
19,Journal of Plant Diseases and Protection,645,1.526,0.000880
20,CALIFORNIA AGRICULTURE,879,1.490,0.000590
21,JOURNAL OF AGRICULTURAL METEOROLOGY,263,1.477,0.000320
22,JOURNAL OF AGRICULTURAL & ENVIRONMENTAL ETHICS,"1,399",1.464,0.001390
23,CIENCIA E AGROTECNOLOGIA,"2,082",1.144,0.001260
24,Journal of Land Use Science,562,1.106,0.000820
25,JOURNAL OF AGRICULTURAL SCIENCE,"4,900",1.082,0.002440
26,OUTLOOK ON AGRICULTURE,592,1.068,0.000330
27,IRISH JOURNAL OF AGRICULTURAL AND FOOD RESEARCH,366,1.048,0.000200
28,SPANISH JOURNAL OF AGRICULTURAL RESEARCH,"1,788",1.037,0.001650
29,BRAGANTIA,"1,267",1.025,0.000930
30,REVISTA DE LA FACULTAD DE CIENCIAS AGRARIAS,235,0.978,0.000140
31,NEW ZEALAND JOURNAL OF AGRICULTURAL RESEARCH,"1,436",0.956,0.000510
32,Journal of Agricultural Science and Technology,"1,659",0.897,0.001590
33,Chilean Journal of Agricultural Research,982,0.883,0.001150
34,Revista Ciencia Agronomica,"1,149",0.870,0.001450
35,GRASSLAND SCIENCE,519,0.867,0.000470
36,Zemdirbyste-Agriculture,539,0.833,0.000530
37,New Medit,300,0.825,0.000170
38,INTERNATIONAL JOURNAL OF AGRICULTURE AND BIOLOGY,"3,047",0.822,0.001940
39,CAHIERS AGRICULTURES,390,0.770,0.000330
40,AGRICULTURAL AND FOOD SCIENCE,642,0.731,0.000370
41,PAKISTAN JOURNAL OF AGRICULTURAL SCIENCES,998,0.663,0.001030
42,PESQUISA AGROPECUARIA BRASILEIRA,"3,915",0.644,0.002250
43,Ciencia e Investigacion Agraria,384,0.533,0.000260
44,Journal of Animal and Plant Sciences,"1,795",0.481,0.002000
45,Icelandic Agricultural Sciences,112,0.462,0.000090
46,JARQ-JAPAN AGRICULTURAL RESEARCH QUARTERLY,770,0.440,0.000410
47,AGRICULTURAL HISTORY,413,0.432,0.000200
48,Agrarforschung Schweiz,133,0.422,0.000120
49,Journal of Agricultural Sciences-Tarim Bilimleri Dergisi,409,0.417,0.000270
50,Semina-Ciencias Agrarias,"1,726",0.412,0.002300
51,AGROCIENCIA,668,0.346,0.000420
52,PHILIPPINE AGRICULTURAL SCIENTIST,266,0.326,0.000130
53,BERICHTE UBER LANDWIRTSCHAFT,87,0.314,0.000110
54,JOURNAL OF THE FACULTY OF AGRICULTURE KYUSHU UNIVERSITY,378,0.271,0.000210
55,Bioscience Journal,990,0.268,0.001260
56,Landbauforschung,103,0.250,0.000080
57,INDIAN JOURNAL OF AGRICULTURAL SCIENCES,"1,332",0.208,0.001080
58,Cuadernos de Desarrollo Rural,119,0.125,0.000050
Copyright © 2020 Clarivate Analytics,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,
