"Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SCIE Selected Categories: 'COMPUTER SCIENCE, INFORMATION SYSTEMS' Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,IEEE Communications Surveys and Tutorials,"18,995",23.700,0.040870
2,IEEE WIRELESS COMMUNICATIONS,"8,140",11.391,0.016970
3,IEEE Internet of Things Journal,"12,832",9.936,0.022680
4,IEEE NETWORK,"5,098",8.808,0.010640
5,Computer Science Review,940,7.707,0.002060
6,IEEE Transactions on Dependable and Secure Computing,"2,932",6.864,0.004290
7,IEEE TRANSACTIONS ON MULTIMEDIA,"9,000",6.051,0.019450
8,IEEE Transactions on Emerging Topics in Computing,"1,621",6.043,0.003510
9,INFORMATION SCIENCES,"36,107",5.910,0.051840
10,Business & Information Systems Engineering,"1,300",5.837,0.001620
11,IEEE Transactions on Services Computing,"2,911",5.823,0.005130
12,MIS QUARTERLY,"19,613",5.370,0.009460
13,Journal of Cheminformatics,"3,489",5.318,0.006340
14,JOURNAL OF STRATEGIC INFORMATION SYSTEMS,"2,005",5.231,0.001610
15,IEEE Journal of Biomedical and Health Informatics,"5,472",5.223,0.012910
16,INFORMATION & MANAGEMENT,"8,292",5.155,0.005770
17,Foundations and Trends in Information Retrieval,421,5.143,0.000270
18,IEEE TRANSACTIONS ON MOBILE COMPUTING,"8,883",5.112,0.013570
19,IEEE MULTIMEDIA,"1,053",4.962,0.001520
20,IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,"13,772",4.935,0.019950
21,CMC-Computers Materials & Continua,"1,282",4.890,0.000870
22,INFORMATION PROCESSING & MANAGEMENT,"4,176",4.787,0.003000
23,DECISION SUPPORT SYSTEMS,"10,739",4.721,0.008810
24,IEEE Transactions on Cloud Computing,"1,988",4.714,0.004000
25,Internet Research,"2,859",4.708,0.002190
26,IEEE Wireless Communications Letters,"4,924",4.660,0.013800
27,Journal of Ambient Intelligence and Humanized Computing,"2,097",4.594,0.001910
28,Journal of Chemical Information and Modeling,"19,075",4.549,0.019570
29,IEEE PERVASIVE COMPUTING,"2,098",4.418,0.001290
30,JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,"9,959",4.112,0.017380
31,IEEE Systems Journal,"5,898",3.987,0.010330
32,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,"5,754",3.949,0.003570
33,IEEE Transactions on Network and Service Management,"1,890",3.878,0.004210
34,Electronic Commerce Research and Applications,"2,781",3.824,0.002080
35,IEEE Access,"51,038",3.745,0.081300
36,INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,"6,259",3.733,0.005790
37,Human-centric Computing and Information Sciences,592,3.700,0.000670
37,IT Professional,864,3.700,0.000980
39,Ad Hoc Networks,"5,296",3.643,0.005630
40,INFORMATION SYSTEMS FRONTIERS,"2,370",3.630,0.002700
41,JOURNAL OF INFORMATION TECHNOLOGY,"1,733",3.625,0.002150
42,COMPUTERS & SECURITY,"4,168",3.579,0.004840
43,IEEE Transactions on Control of Network Systems,"1,847",3.467,0.010850
44,Cluster Computing-The Journal of Networks Software Tools and Applications,"3,403",3.458,0.003930
45,Journal of Optical Communications and Networking,"2,887",3.425,0.005830
46,INFORMATICA,717,3.312,0.000760
47,Science China-Information Sciences,"3,229",3.304,0.006880
48,ACM Transactions on Multimedia Computing Communications and Applications,"1,242",3.275,0.002660
49,Semantic Web,836,3.182,0.001670
50,ACM Transactions on Computer-Human Interaction,"1,523",3.147,0.001050
51,Egyptian Informatics Journal,579,3.119,0.000650
52,Computer Networks,"10,233",3.111,0.010200
53,PeerJ Computer Science,685,3.091,0.003300
54,IEEE TRANSACTIONS ON INFORMATION THEORY,"38,759",3.036,0.036010
55,INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS,"5,368",3.025,0.007110
56,Journal of the Association for Information Systems,"2,607",2.957,0.002590
57,KNOWLEDGE AND INFORMATION SYSTEMS,"3,242",2.936,0.005470
58,ACM TRANSACTIONS ON DATABASE SYSTEMS,"1,383",2.927,0.001750
59,VLDB JOURNAL,"2,141",2.904,0.003400
60,WORLD WIDE WEB-INTERNET AND WEB INFORMATION SYSTEMS,"1,079",2.892,0.001480
61,ACM TRANSACTIONS ON INFORMATION SYSTEMS,"2,020",2.889,0.001160
62,Proceedings of the VLDB Endowment,"7,166",2.862,0.011930
63,COMPUTER COMMUNICATIONS,"5,226",2.816,0.006230
64,Sustainable Computing-Informatics & Systems,524,2.798,0.000760
65,Peer-to-Peer Networking and Applications,"1,119",2.793,0.001710
66,Journal of Cloud Computing-Advances Systems and Applications,395,2.788,0.000520
67,International Journal of Web and Grid Services,208,2.750,0.000310
68,INFORMATION AND SOFTWARE TECHNOLOGY,"4,339",2.726,0.005400
69,Pervasive and Mobile Computing,"2,274",2.725,0.003240
70,Big Data Research,462,2.673,0.001070
71,ACM Transactions on Intelligent Systems and Technology,"3,727",2.672,0.004280
72,WIRELESS NETWORKS,"3,680",2.659,0.004290
73,DATA MINING AND KNOWLEDGE DISCOVERY,"3,566",2.629,0.003540
74,MOBILE NETWORKS & APPLICATIONS,"2,281",2.602,0.002670
75,EUROPEAN JOURNAL OF INFORMATION SYSTEMS,"3,319",2.600,0.002850
76,Optical Switching and Networking,499,2.577,0.000980
77,JOURNAL OF VISUAL COMMUNICATION AND IMAGE REPRESENTATION,"4,299",2.479,0.007250
78,ACM Transactions on Sensor Networks,"1,396",2.469,0.001470
79,INFORMATION SYSTEMS,"2,437",2.466,0.003490
80,JOURNAL OF INFORMATION SCIENCE,"1,984",2.410,0.001530
80,Journal of the Association for Information Science and Technology,"2,997",2.410,0.008530
