"Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SCIE Selected Categories: 'COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS' Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,Journal of Statistical Software,"25,372",13.642,0.053040
2,MEDICAL IMAGE ANALYSIS,"9,028",11.148,0.017100
3,Journal of Industrial Information Integration,592,10.615,0.000980
4,IEEE Transactions on Industrial Informatics,"18,363",9.112,0.035170
5,COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING,"3,746",8.552,0.004650
6,ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING,"2,220",6.730,0.003790
7,IEEE TRANSACTIONS ON MEDICAL IMAGING,"21,657",6.685,0.030060
8,JOURNAL OF NETWORK AND COMPUTER APPLICATIONS,"8,150",5.570,0.011810
9,APPLIED SOFT COMPUTING,"24,071",5.472,0.034920
10,Journal of Cheminformatics,"3,489",5.318,0.006340
11,COMPUTERS & EDUCATION,"15,521",5.296,0.013370
12,IEEE Journal of Biomedical and Health Informatics,"5,472",5.223,0.012910
13,ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,"4,930",5.057,0.004720
14,ENVIRONMENTAL MODELLING & SOFTWARE,"14,577",4.807,0.018610
15,INTEGRATED COMPUTER-AIDED ENGINEERING,665,4.706,0.001100
16,Journal of Informetrics,"3,493",4.611,0.004720
17,Journal of Chemical Information and Modeling,"19,075",4.549,0.019570
18,COMPUTERS & INDUSTRIAL ENGINEERING,"14,888",4.135,0.017410
19,JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,"9,959",4.112,0.017380
20,COMPUTERS & CHEMICAL ENGINEERING,"14,377",4.000,0.011380
21,COMPUTERS IN INDUSTRY,"4,364",3.954,0.003700
22,ENGINEERING WITH COMPUTERS,"1,902",3.938,0.001870
23,ADVANCES IN ENGINEERING SOFTWARE,"5,919",3.884,0.008360
24,COMPUTERS AND ELECTRONICS IN AGRICULTURE,"11,524",3.858,0.011970
25,Electronic Commerce Research and Applications,"2,781",3.824,0.002080
26,COMPUTERS AND GEOTECHNICS,"9,308",3.818,0.013620
27,COMPUTERS & STRUCTURES,"14,934",3.664,0.010950
28,Big Data,451,3.644,0.001500
29,VIRTUAL REALITY,670,3.634,0.000800
30,COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE,"8,014",3.632,0.011370
31,COMPUTER PHYSICS COMMUNICATIONS,"21,193",3.627,0.030130
32,JOURNAL OF BIOMEDICAL INFORMATICS,"8,253",3.526,0.011190
33,COMPUTERS IN BIOLOGY AND MEDICINE,"6,737",3.434,0.010660
34,COMPUTERS & OPERATIONS RESEARCH,"13,591",3.424,0.014630
35,Journal of Computational Design and Engineering,602,3.408,0.001210
36,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,"9,424",3.377,0.012170
37,INDUSTRIAL MANAGEMENT & DATA SYSTEMS,"4,196",3.329,0.003370
38,R Journal,"1,811",3.312,0.007320
39,NEUROINFORMATICS,"1,457",3.300,0.003170
40,SOFT COMPUTING,"8,859",3.050,0.011920
41,IEEE-ACM Transactions on Computational Biology and Bioinformatics,"3,542",3.015,0.006930
42,COMPUTERS & GEOSCIENCES,"11,764",2.991,0.011250
43,JOURNAL OF COMPUTATIONAL PHYSICS,"55,510",2.985,0.056770
44,JOURNAL OF COMPUTING IN CIVIL ENGINEERING,"3,246",2.979,0.003590
45,SCIENTOMETRICS,"12,229",2.867,0.012860
46,INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING,"2,249",2.861,0.002170
47,Molecular Informatics,"1,428",2.741,0.002210
48,IEEE Transactions on Learning Technologies,948,2.714,0.001160
49,SOCIAL SCIENCE COMPUTER REVIEW,"1,871",2.696,0.003060
50,COMPUTERS & ELECTRICAL ENGINEERING,"4,867",2.663,0.007540
51,Journal of Computational Science,"2,157",2.644,0.004320
52,International Journal of Interactive Multimedia and Artificial Intelligence,537,2.561,0.000580
53,JOURNAL OF COMPUTER-AIDED MOLECULAR DESIGN,"4,602",2.546,0.004100
54,COMPUTATIONAL LINGUISTICS,"2,426",2.510,0.001270
55,COMPUTERS & FLUIDS,"11,471",2.399,0.018270
56,INTERNATIONAL JOURNAL OF HIGH PERFORMANCE COMPUTING APPLICATIONS,"1,090",2.365,0.001580
57,SIMULATION MODELLING PRACTICE AND THEORY,"2,666",2.219,0.002970
58,IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS,"5,088",2.168,0.006940
59,JOURNAL OF MOLECULAR GRAPHICS & MODELLING,"7,834",2.079,0.004000
60,SAR AND QSAR IN ENVIRONMENTAL RESEARCH,"1,134",2.053,0.000980
61,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,"5,723",2.022,0.004520
62,MATCH-COMMUNICATIONS IN MATHEMATICAL AND IN COMPUTER CHEMISTRY,"2,377",1.949,0.003190
63,COMPUTING IN SCIENCE & ENGINEERING,"4,863",1.935,0.003260
64,INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY & DECISION MAKING,"1,248",1.894,0.001280
65,Astronomy and Computing,776,1.854,0.002750
66,COMPUTATIONAL BIOLOGY AND CHEMISTRY,"1,929",1.850,0.002910
67,International Journal of Computational Intelligence Systems,"1,463",1.838,0.001780
68,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN FLUIDS,"7,164",1.808,0.005240
69,COMPUTATIONAL GEOSCIENCES,"2,208",1.807,0.004100
70,Digital Investigation,"1,142",1.736,0.000880
71,JOURNAL OF HYDROINFORMATICS,"1,608",1.728,0.001720
72,ACM Journal on Computing and Cultural Heritage,273,1.727,0.000310
73,Computer Supported Cooperative Work-The Journal of Collaborative Computing and Work Practices,819,1.672,0.000600
74,MATHEMATICS AND COMPUTERS IN SIMULATION,"3,955",1.620,0.003620
75,Computational and Mathematical Organization Theory,447,1.558,0.000370
76,INFORMS JOURNAL ON COMPUTING,"1,912",1.541,0.003790
77,INTERNATIONAL JOURNAL OF RF AND MICROWAVE COMPUTER-AIDED ENGINEERING,"1,361",1.528,0.001650
78,Computers and Concrete,"1,238",1.507,0.001240
79,COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING,"2,614",1.502,0.004740
80,Earth Science Informatics,503,1.450,0.001000
81,JOURNAL OF COMPUTING AND INFORMATION SCIENCE IN ENGINEERING,796,1.431,0.000700
82,SPEECH COMMUNICATION,"3,170",1.417,0.002530
83,Statistical Analysis and Data Mining,478,1.396,0.001150
84,ACM Transactions on Modeling and Computer Simulation,714,1.380,0.000850
85,JOURNAL OF MOLECULAR MODELING,"5,881",1.346,0.005350
86,Entertainment Computing,365,1.341,0.000410
87,ENGINEERING COMPUTATIONS,"2,127",1.322,0.002050
88,CIN-COMPUTERS INFORMATICS NURSING,935,1.321,0.001280
