"Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SCIE Selected Categories: 'ENGINEERING, CIVIL' Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING,"3,746",8.552,0.004650
2,IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,"15,798",6.319,0.027500
3,AUTOMATION IN CONSTRUCTION,"11,379",5.669,0.010190
4,BUILDING AND ENVIRONMENT,"28,235",4.971,0.025290
5,ENERGY AND BUILDINGS,"40,757",4.867,0.044050
6,TRANSPORTATION RESEARCH PART B-METHODOLOGICAL,"12,945",4.796,0.017350
7,TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW,"7,790",4.690,0.010930
8,STRUCTURAL SAFETY,"4,439",4.522,0.004760
9,JOURNAL OF HYDROLOGY,"59,291",4.500,0.055090
10,TUNNELLING AND UNDERGROUND SPACE TECHNOLOGY,"11,081",4.450,0.011360
11,CONSTRUCTION AND BUILDING MATERIALS,"76,055",4.419,0.081180
12,STEEL AND COMPOSITE STRUCTURES,"4,457",4.394,0.005220
13,COASTAL ENGINEERING,"8,286",4.119,0.008230
14,TRANSPORTATION,"4,186",4.082,0.005080
15,THIN-WALLED STRUCTURES,"12,930",4.033,0.016240
16,Archives of Civil and Mechanical Engineering,"2,552",3.672,0.003790
17,COMPUTERS & STRUCTURES,"14,934",3.664,0.010950
18,Smart Structures and Systems,"2,519",3.557,0.003590
19,ENGINEERING STRUCTURES,"30,397",3.548,0.038710
20,Structural Control & Health Monitoring,"4,027",3.499,0.006190
21,EARTHQUAKE ENGINEERING & STRUCTURAL DYNAMICS,"11,480",3.414,0.009580
22,Journal of Building Engineering,"2,316",3.379,0.004030
23,OCEAN ENGINEERING,"16,650",3.068,0.021790
24,IEEE JOURNAL OF OCEANIC ENGINEERING,"4,647",3.005,0.003720
25,STRUCTURAL ENGINEERING AND MECHANICS,"4,856",2.984,0.004940
26,JOURNAL OF COMPUTING IN CIVIL ENGINEERING,"3,246",2.979,0.003590
27,JOURNAL OF CONSTRUCTIONAL STEEL RESEARCH,"13,010",2.938,0.012010
28,WATER RESOURCES MANAGEMENT,"11,012",2.924,0.012180
29,MATERIALS AND STRUCTURES,"11,183",2.901,0.011950
30,JOURNAL OF COMPOSITES FOR CONSTRUCTION,"5,341",2.896,0.004480
31,JOURNAL OF MANAGEMENT IN ENGINEERING,"2,851",2.867,0.002360
32,JOURNAL OF EARTHQUAKE ENGINEERING,"2,767",2.779,0.003020
33,COLD REGIONS SCIENCE AND TECHNOLOGY,"5,478",2.739,0.004610
33,JOURNAL OF WIND ENGINEERING AND INDUSTRIAL AERODYNAMICS,"10,561",2.739,0.007640
35,MARINE STRUCTURES,"2,545",2.708,0.002570
36,International Journal of Pavement Engineering,"2,342",2.646,0.003130
37,Structure and Infrastructure Engineering,"2,406",2.620,0.003930
38,Road Materials and Pavement Design,"2,722",2.582,0.003630
39,Geomechanics and Engineering,"1,623",2.485,0.002120
40,JOURNAL OF STRUCTURAL ENGINEERING,"19,206",2.454,0.013140
41,Advances in Concrete Construction,322,2.443,0.000330
42,Transportation Geotechnics,570,2.436,0.001350
43,Ingegneria Sismica,259,2.414,0.000300
44,JOURNAL OF WATER RESOURCES PLANNING AND MANAGEMENT,"5,139",2.406,0.004510
45,STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,"4,272",2.351,0.006810
46,JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT,"8,272",2.347,0.003970
47,Journal of Civil Engineering and Management,"1,676",2.338,0.001610
48,FIRE SAFETY JOURNAL,"4,698",2.295,0.003870
49,Journal of Bridge Engineering,"4,220",2.196,0.005420
50,Structural Concrete,"1,388",2.174,0.002530
51,JOURNAL OF MATERIALS IN CIVIL ENGINEERING,"10,685",2.169,0.011580
52,Engineering Construction and Architectural Management,"1,650",2.160,0.000940
53,Journal of Hydro-environment Research,986,2.099,0.001520
54,JOURNAL OF HYDRAULIC RESEARCH,"4,166",2.098,0.002990
55,STRUCTURAL DESIGN OF TALL AND SPECIAL BUILDINGS,"1,686",2.048,0.002020
56,COASTAL ENGINEERING JOURNAL,649,2.032,0.000990
57,International Journal of Structural Stability and Dynamics,"1,972",2.015,0.002560
58,JOURNAL OF HYDRAULIC ENGINEERING,"10,774",1.993,0.004610
59,JOURNAL OF SURVEYING ENGINEERING,716,1.986,0.000700
60,EARTHQUAKE SPECTRA,"5,695",1.930,0.008280
61,WIND AND STRUCTURES,"1,121",1.922,0.001350
62,WATER INTERNATIONAL,"2,068",1.899,0.002100
63,Journal of Analytical Methods in Chemistry,"1,161",1.878,0.002060
64,International Journal of Architectural Heritage,966,1.853,0.001680
65,Structures,868,1.839,0.002040
66,European Journal of Environmental and Civil Engineering,"1,287",1.832,0.001980
67,Journal of Infrastructure Systems,"1,653",1.825,0.001820
68,International Journal of Concrete Structures and Materials,854,1.820,0.001340
69,Journal of Civil Structural Health Monitoring,630,1.817,0.001290
70,JOURNAL OF AEROSPACE ENGINEERING,"1,942",1.761,0.002290
71,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-MARITIME ENGINEERING,148,1.739,0.000230
72,JOURNAL OF HYDROINFORMATICS,"1,608",1.728,0.001720
73,Earthquakes and Structures,"1,196",1.714,0.002250
74,Frontiers of Structural and Civil Engineering,707,1.680,0.000890
75,JOURNAL OF ADVANCED TRANSPORTATION,"1,904",1.670,0.003610
76,Natural Hazards Review,"1,304",1.667,0.001080
77,SURVEY REVIEW,752,1.660,0.000910
78,JOURNAL OF PERFORMANCE OF CONSTRUCTED FACILITIES,"2,532",1.648,0.003940
79,Earthquake Engineering and Engineering Vibration,"1,510",1.642,0.001440
80,JOURNAL OF HYDROLOGIC ENGINEERING,"4,982",1.594,0.004640
81,ACI STRUCTURAL JOURNAL,"6,917",1.566,0.003270
82,KSCE Journal of Civil Engineering,"3,754",1.515,0.005350
83,Computers and Concrete,"1,238",1.507,0.001240
84,Journal of Pipeline Systems Engineering and Practice,420,1.500,0.000660
85,International Journal of Civil Engineering,940,1.446,0.001110
85,JOURNAL OF MARINE SCIENCE AND TECHNOLOGY,"1,331",1.446,0.001290
87,ADVANCES IN STRUCTURAL ENGINEERING,"2,401",1.416,0.003380
88,JOURNAL OF IRRIGATION AND DRAINAGE ENGINEERING,"3,870",1.409,0.002170
89,JOURNAL OF URBAN PLANNING AND DEVELOPMENT,"1,240",1.381,0.001350
