"Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SCIE Selected Categories: 'ENGINEERING, ENVIRONMENTAL' Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,APPLIED CATALYSIS B-ENVIRONMENTAL,"97,041",16.683,0.120450
2,CHEMICAL ENGINEERING JOURNAL,"129,806",10.652,0.154580
3,WATER RESEARCH,"99,442",9.130,0.081100
4,JOURNAL OF HAZARDOUS MATERIALS,"110,068",9.038,0.070330
5,RESOURCES CONSERVATION AND RECYCLING,"17,121",8.086,0.016040
6,ENVIRONMENTAL SCIENCE & TECHNOLOGY,"187,990",7.864,0.170440
7,Environmental Science & Technology Letters,"3,696",7.678,0.011790
8,JOURNAL OF CLEANER PRODUCTION,"104,138",7.246,0.129250
9,JOURNAL OF INDUSTRIAL ECOLOGY,"6,561",6.539,0.006560
10,Environmental Chemistry Letters,"3,610",5.922,0.003250
11,WASTE MANAGEMENT,"30,533",5.448,0.028550
12,BUILDING AND ENVIRONMENT,"28,235",4.971,0.025290
13,PROCESS SAFETY AND ENVIRONMENTAL PROTECTION,"8,151",4.966,0.010820
14,ENVIRONMENTAL MODELLING & SOFTWARE,"14,577",4.807,0.018610
15,AMBIO,"8,753",4.778,0.009580
16,INDOOR AIR,"5,418",4.739,0.005190
17,INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT,"8,278",4.307,0.007100
18,Journal of Environmental Chemical Engineering,"13,023",4.300,0.019800
19,Frontiers of Environmental Science & Engineering,"2,315",4.053,0.003400
20,International Journal of Greenhouse Gas Control,"10,547",3.639,0.013410
21,ECOLOGICAL ENGINEERING,"18,887",3.512,0.021150
22,ENVIRONMENTAL GEOCHEMISTRY AND HEALTH,"4,375",3.472,0.003770
23,Journal of Water Process Engineering,"2,951",3.465,0.004740
24,Environmental Science-Water Research & Technology,"1,953",3.449,0.004600
25,Environmental Technology & Innovation,"1,019",3.356,0.001680
26,Bulletin of Engineering Geology and the Environment,"4,115",3.041,0.004290
27,WASTE MANAGEMENT & RESEARCH,"4,867",2.771,0.003250
28,JOURNAL OF CHEMICAL TECHNOLOGY AND BIOTECHNOLOGY,"12,232",2.750,0.009030
29,COLD REGIONS SCIENCE AND TECHNOLOGY,"5,478",2.739,0.004610
30,JOURNAL OF POLYMERS AND THE ENVIRONMENT,"4,631",2.572,0.002920
31,JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,"6,147",2.472,0.004320
32,Clean Technologies and Environmental Policy,"3,500",2.429,0.004540
33,STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,"4,272",2.351,0.006810
34,JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION,"6,521",2.245,0.004260
35,Journal of Environmental Health Science and Engineering,"1,267",2.179,0.001950
36,OZONE-SCIENCE & ENGINEERING,"1,829",2.082,0.000840
37,JOURNAL OF TERRAMECHANICS,"1,457",2.043,0.000820
38,Journal of Water Reuse and Desalination,472,2.000,0.000690
39,Environmental Progress & Sustainable Energy,"3,229",1.989,0.003840
40,Greenhouse Gases-Science and Technology,879,1.979,0.001700
41,INDOOR AND BUILT ENVIRONMENT,"1,800",1.900,0.001960
42,JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART A-TOXIC/HAZARDOUS SUBSTANCES & ENVIRONMENTAL ENGINEERING,"4,965",1.724,0.002780
43,WATER SCIENCE AND TECHNOLOGY,"20,937",1.638,0.009930
44,ENVIRONMENTAL ENGINEERING SCIENCE,"2,819",1.610,0.002570
45,Environmental Engineering Research,720,1.438,0.000770
46,JOURNAL OF ENVIRONMENTAL ENGINEERING,"5,464",1.264,0.002370
47,WATER ENVIRONMENT RESEARCH,"3,120",1.151,0.001540
48,Water Science and Technology-Water Supply,"1,296",0.900,0.001550
49,Environment Protection Engineering,528,0.812,0.000380
50,JOURNAL OF COLD REGIONS ENGINEERING,346,0.800,0.000220
51,ENVIRONMENTAL & ENGINEERING GEOSCIENCE,559,0.755,0.000260
52,Ochrona Srodowiska,255,0.576,0.000110
53,GEFAHRSTOFFE REINHALTUNG DER LUFT,194,0.368,0.000140
Copyright © 2020 Clarivate Analytics,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,
