"Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SCIE Selected Categories: 'ENGINEERING, MULTIDISCIPLINARY' Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,INTERNATIONAL JOURNAL OF ENGINEERING SCIENCE,"11,757",9.219,0.010380
2,COMPOSITES PART B-ENGINEERING,"37,998",7.635,0.045340
3,ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING,"2,220",6.730,0.003790
4,Engineering,"2,011",6.495,0.004680
5,Engineering Applications of Computational Fluid Mechanics,"1,327",5.800,0.001610
6,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,"33,874",5.763,0.041240
7,IEEE Transactions on Network Science and Engineering,563,5.213,0.001560
8,International Journal for Uncertainty Quantification,564,4.911,0.001350
9,STRUCTURAL HEALTH MONITORING-AN INTERNATIONAL JOURNAL,"3,449",4.870,0.003580
10,INTEGRATED COMPUTER-AIDED ENGINEERING,665,4.706,0.001100
11,COMBUSTION AND FLAME,"29,295",4.570,0.025930
12,ISA TRANSACTIONS,"7,272",4.305,0.012180
13,ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,"7,561",4.201,0.009120
14,JOURNAL OF THE FRANKLIN INSTITUTE-ENGINEERING AND APPLIED MATHEMATICS,"10,547",4.036,0.019800
15,ADVANCES IN ENGINEERING SOFTWARE,"5,919",3.884,0.008360
16,ADVANCED ENGINEERING INFORMATICS,"3,173",3.879,0.003390
17,APPLIED MATHEMATICAL MODELLING,"19,533",3.633,0.026890
18,JOURNAL OF ENGINEERING TECHNOLOGY,189,3.588,0.000170
19,IEEE TRANSACTIONS ON INDUSTRY APPLICATIONS,"22,906",3.488,0.031230
20,Journal of Computational Design and Engineering,602,3.408,0.001210
21,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,"9,424",3.377,0.012170
22,MEASUREMENT,"15,879",3.364,0.021680
23,Engineering Science and Technology-An International Journal-JESTECH,"2,418",3.219,0.004090
24,PRECISION ENGINEERING-JOURNAL OF THE INTERNATIONAL SOCIETIES FOR PRECISION ENGINEERING AND NANOTECHNOLOGY,"5,275",3.108,0.006560
25,Bioinspiration & Biomimetics,"2,977",3.062,0.005800
26,ENGINEERING ANALYSIS WITH BOUNDARY ELEMENTS,"5,205",2.884,0.006150
27,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,"20,814",2.866,0.015070
28,DESIGN STUDIES,"2,651",2.791,0.001220
29,SCIENCE AND ENGINEERING ETHICS,"2,129",2.787,0.003760
30,JOURNAL OF ENGINEERING EDUCATION,"2,659",2.638,0.001190
31,Defence Technology,901,2.637,0.001340
32,Applied Sciences-Basel,"14,639",2.474,0.020300
33,Alexandria Engineering Journal,"3,853",2.460,0.005440
34,JOURNAL OF ELASTICITY,"2,527",2.372,0.002330
35,Science China-Technological Sciences,"4,328",2.302,0.006250
36,INTERNATIONAL JOURNAL OF PRESSURE VESSELS AND PIPING,"4,266",2.230,0.001830
37,RESEARCH IN ENGINEERING DESIGN,"1,064",2.224,0.000480
38,Journal of Bionic Engineering,"1,658",2.222,0.001920
39,ENGINEERING OPTIMIZATION,"2,822",2.165,0.003550
40,International Journal of Critical Infrastructure Protection,526,2.164,0.000540
41,JOURNAL OF ENGINEERING DESIGN,"1,011",1.950,0.000690
42,Ain Shams Engineering Journal,"2,171",1.949,0.002980
43,MEASUREMENT SCIENCE and TECHNOLOGY,"14,058",1.857,0.012020
44,OPTIMIZATION AND ENGINEERING,958,1.829,0.001640
45,International Journal of Design,709,1.806,0.000400
46,ATOMIZATION AND SPRAYS,"1,524",1.737,0.001320
47,COMBUSTION SCIENCE AND TECHNOLOGY,"5,535",1.730,0.003290
48,QUALITY AND RELIABILITY ENGINEERING INTERNATIONAL,"2,975",1.718,0.004060
49,International Journal of Computational Methods,"1,081",1.716,0.001540
50,FIRE TECHNOLOGY,"1,827",1.671,0.002230
51,Proceedings of the Institution of Mechanical Engineers Part O-Journal of Risk and Reliability,728,1.602,0.001340
52,Eksploatacja i Niezawodnosc-Maintenance and Reliability,854,1.525,0.000790
53,Journal of Zhejiang University-SCIENCE A,"1,804",1.490,0.001660
54,INTERNATIONAL JOURNAL OF NONLINEAR SCIENCES AND NUMERICAL SIMULATION,974,1.467,0.000760
55,JOURNAL OF ENGINEERING MATHEMATICS,"1,928",1.434,0.001690
56,Bulletin of the Polish Academy of Sciences-Technical Sciences,"1,343",1.385,0.001000
57,Journal of Industrial and Management Optimization,893,1.366,0.001940
58,INTERNATIONAL JOURNAL OF TECHNOLOGY MANAGEMENT,"1,647",1.348,0.000610
59,INTERNATIONAL JOURNAL OF TECHNOLOGY AND DESIGN EDUCATION,785,1.326,0.000550
60,ENGINEERING COMPUTATIONS,"2,127",1.322,0.002050
61,INVERSE PROBLEMS IN SCIENCE AND ENGINEERING,977,1.314,0.001950
62,JOURNAL OF FIRE SCIENCES,959,1.283,0.000550
63,Acta Polytechnica Hungarica,833,1.219,0.000530
64,Engineering Studies,154,1.167,0.000150
65,AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING,634,1.119,0.000460
66,Scientia Iranica,"2,927",1.017,0.002080
67,MATHEMATICAL PROBLEMS IN ENGINEERING,"11,080",1.009,0.017790
68,ISSUES IN SCIENCE AND TECHNOLOGY,469,1.000,0.000750
68,International Journal for Multiscale Computational Engineering,512,1.000,0.000550
70,JOURNAL OF PROFESSIONAL ISSUES IN ENGINEERING EDUCATION AND PRACTICE,744,0.980,0.000410
71,COMPUTER APPLICATIONS IN ENGINEERING EDUCATION,779,0.856,0.000630
72,SADHANA-ACADEMY PROCEEDINGS IN ENGINEERING SCIENCES,"1,720",0.849,0.001450
73,COMBUSTION EXPLOSION AND SHOCK WAVES,"2,382",0.840,0.001210
74,CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES,"1,473",0.805,0.000870
75,JOURNAL OF THE AUDIO ENGINEERING SOCIETY,"1,166",0.790,0.000630
76,Dyna,245,0.781,0.000250
77,FORSCHUNG IM INGENIEURWESEN-ENGINEERING RESEARCH,308,0.766,0.000150
78,JOURNAL OF SCIENTIFIC & INDUSTRIAL RESEARCH,"2,015",0.729,0.000560
79,Journal of the Faculty of Engineering and Architecture of Gazi University,565,0.724,0.000360
