Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SCIE Selected Categories: 'ENVIRONMENTAL SCIENCES' Selected Category Scheme: WoS,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,Energy & Environmental Science,"86,899",30.289,0.158830
2,Nature Climate Change,"27,079",20.893,0.089000
3,Nature Sustainability,"1,423",12.080,0.005070
4,GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,"18,470",10.466,0.027370
5,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,"11,288",9.295,0.014990
6,WATER RESEARCH,"99,442",9.130,0.081100
7,REMOTE SENSING OF ENVIRONMENT,"62,697",9.085,0.057240
8,JOURNAL OF HAZARDOUS MATERIALS,"110,068",9.038,0.070330
9,GLOBAL CHANGE BIOLOGY,"45,069",8.555,0.074180
10,Environmental Innovation and Societal Transitions,"2,103",8.400,0.003800
11,ENVIRONMENTAL HEALTH PERSPECTIVES,"42,865",8.382,0.034490
12,CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY,"6,467",8.302,0.005550
13,RESOURCES CONSERVATION AND RECYCLING,"17,121",8.086,0.016040
14,Annual Review of Environment and Resources,"4,465",8.065,0.005360
15,ENVIRONMENTAL SCIENCE & TECHNOLOGY,"187,990",7.864,0.170440
16,Environmental Science-Nano,"5,669",7.683,0.012550
17,Environmental Science & Technology Letters,"3,696",7.678,0.011790
18,ENVIRONMENT INTERNATIONAL,"29,467",7.577,0.037840
19,JOURNAL OF CLEANER PRODUCTION,"104,138",7.246,0.129250
20,Trends in Environmental Analytical Chemistry,346,7.059,0.000740
21,ENVIRONMENTAL POLLUTION,"60,363",6.792,0.068480
22,SCIENCE OF THE TOTAL ENVIRONMENT,"134,959",6.551,0.180090
23,JOURNAL OF INDUSTRIAL ECOLOGY,"6,561",6.539,0.006560
24,Ecosystem Services,"7,796",6.330,0.010850
25,Earths Future,"2,369",6.141,0.009830
26,JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART B-CRITICAL REVIEWS,"1,802",6.105,0.001640
27,Environmental Research Letters,"19,933",6.096,0.058630
28,Environmental Chemistry Letters,"3,610",5.922,0.003250
29,CHEMOSPHERE,"94,793",5.778,0.090310
30,Reviews of Environmental Contamination and Toxicology,"2,315",5.767,0.001370
31,ENVIRONMENTAL RESEARCH,"19,947",5.715,0.031790
32,Current Opinion in Environmental Sustainability,"5,291",5.658,0.010230
33,JOURNAL OF ENVIRONMENTAL MANAGEMENT,"44,264",5.647,0.045260
34,NanoImpact,728,5.478,0.001570
35,WASTE MANAGEMENT,"30,533",5.448,0.028550
36,ATMOSPHERIC CHEMISTRY AND PHYSICS,"53,236",5.414,0.080060
37,CONSERVATION BIOLOGY,"22,287",5.405,0.019010
38,Environmental Sciences Europe,"1,279",5.394,0.002220
39,Sustainability Science,"2,966",5.301,0.004480
40,ENERGY POLICY,"49,950",5.042,0.043210
41,APPLIED CATALYSIS A-GENERAL,"39,423",5.006,0.023890
42,REVIEWS IN ENVIRONMENTAL SCIENCE AND BIO-TECHNOLOGY,"2,835",4.957,0.002780
43,Climate Risk Management,774,4.904,0.002360
