Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SSCI Selected Categories: 'ENVIRONMENTAL STUDIES' Selected Category Scheme: WoS,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,Nature Climate Change,"27,079",20.893,0.089000
2,Nature Sustainability,"1,423",12.080,0.005070
3,GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,"18,470",10.466,0.027370
4,Environmental Innovation and Societal Transitions,"2,103",8.400,0.003800
5,Annual Review of Environment and Resources,"4,465",8.065,0.005360
6,TOURISM MANAGEMENT,"25,990",7.432,0.014200
7,Review of Environmental Economics and Policy,"1,308",6.487,0.003520
8,Ecosystem Services,"7,796",6.330,0.010850
9,Wiley Interdisciplinary Reviews-Climate Change,"3,703",6.099,0.009610
10,Business Strategy and the Environment,"5,409",5.483,0.002590
11,LANDSCAPE AND URBAN PLANNING,"18,415",5.441,0.015980
12,Journal of the Association of Environmental and Resource Economists,746,5.167,0.005070
13,ENVIRONMENT AND BEHAVIOR,"6,805",5.141,0.003930
14,ENERGY POLICY,"49,950",5.042,0.043210
15,Climate Risk Management,774,4.904,0.002360
16,Energy Research & Social Science,"5,246",4.771,0.012610
17,COMPUTERS ENVIRONMENT AND URBAN SYSTEMS,"3,846",4.655,0.005210
18,TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,"8,486",4.577,0.012150
19,Corporate Social Responsibility and Environmental Management,"3,173",4.542,0.001330
20,ECOLOGICAL ECONOMICS,"26,706",4.482,0.019360
21,ENVIRONMENTAL POLITICS,"2,705",4.320,0.003990
22,HABITAT INTERNATIONAL,"6,352",4.310,0.007500
23,ENVIRONMENTAL IMPACT ASSESSMENT REVIEW,"4,368",4.135,0.003370
24,URBAN FORESTRY & URBAN GREENING,"6,024",4.021,0.007240
25,CLIMATE POLICY,"2,472",4.011,0.005000
26,RESOURCES POLICY,"4,231",3.986,0.004140
27,ECOLOGY AND SOCIETY,"11,994",3.890,0.014290
28,LAND USE POLICY,"14,589",3.682,0.020530
29,ENVIRONMENT AND PLANNING D-SOCIETY & SPACE,"4,333",3.681,0.005830
30,Sustainable Production and Consumption,740,3.660,0.001080
31,Regional Environmental Change,"4,921",3.481,0.011210
32,JOURNAL OF ENVIRONMENTAL ECONOMICS AND MANAGEMENT,"6,765",3.449,0.007400
33,ORGANIZATION & ENVIRONMENT,"1,786",3.333,0.001620
