Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SCIE Selected Categories: 'FOOD SCIENCE & TECHNOLOGY' Selected Category Scheme: WoS,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,TRENDS IN FOOD SCIENCE & TECHNOLOGY,"18,701",11.077,0.019230
2,COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY,"6,974",9.912,0.008650
3,Annual Review of Food Science and Technology,"2,185",8.960,0.003300
4,CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION,"15,322",7.862,0.017050
5,FOOD HYDROCOLLOIDS,"30,169",7.053,0.029870
6,FOOD CHEMISTRY,"122,430",6.306,0.108660
7,Global Food Security-Agriculture Policy Economics and Environment,"1,660",6.034,0.004500
8,MOLECULAR NUTRITION & FOOD RESEARCH,"14,070",5.309,0.015600
9,Food and Energy Security,584,5.212,0.001250
10,Antioxidants,"2,568",5.014,0.004170
11,FOOD RESEARCH INTERNATIONAL,"32,365",4.972,0.032530
12,FOOD QUALITY AND PREFERENCE,"10,917",4.842,0.008400
13,JOURNAL OF FOOD AND DRUG ANALYSIS,"3,897",4.727,0.005550
14,FOOD AND CHEMICAL TOXICOLOGY,"29,262",4.679,0.020710
15,Current Opinion in Food Science,"1,974",4.577,0.004510
16,JOURNAL OF FOOD ENGINEERING,"28,954",4.499,0.017390
17,Innovative Food Science & Emerging Technologies,"9,041",4.477,0.010010
18,POSTHARVEST BIOLOGY AND TECHNOLOGY,"13,111",4.303,0.010070
19,FOOD CONTROL,"22,777",4.258,0.028520
20,Food Packaging and Shelf Life,"1,301",4.244,0.002280
21,JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY,"118,586",4.192,0.063680
22,FOOD POLICY,"6,848",4.189,0.010150
23,INTERNATIONAL JOURNAL OF FOOD MICROBIOLOGY,"26,476",4.187,0.018250
24,Food & Function,"12,239",4.171,0.020970
25,FOOD MICROBIOLOGY,"11,391",4.155,0.012260
26,FOOD REVIEWS INTERNATIONAL,"2,048",4.113,0.001120
27,Foods,"2,368",4.092,0.003850
28,LWT-FOOD SCIENCE AND TECHNOLOGY,"31,305",4.006,0.036390
29,FOOD AND BIOPRODUCTS PROCESSING,"4,399",3.726,0.004770
30,JOURNAL OF FOOD COMPOSITION AND ANALYSIS,"8,348",3.721,0.006480
31,Journal of Functional Foods,"13,130",3.701,0.021100
32,Food & Nutrition Research,"1,731",3.647,0.003010
33,MEAT SCIENCE,"21,827",3.644,0.012420
34,Toxins,"9,582",3.531,0.017260
35,INTERNATIONAL JOURNAL OF FOOD SCIENCES AND NUTRITION,"4,567",3.483,0.004070
36,Food and Bioprocess Technology,"8,253",3.356,0.009030
37,JOURNAL OF DAIRY SCIENCE,"53,074",3.333,0.032830
38,Food Engineering Reviews,"1,085",3.294,0.001330
39,Journal of Insects as Food and Feed,507,3.197,0.001070
40,AUSTRALIAN JOURNAL OF GRAPE AND WINE RESEARCH,"3,110",3.137,0.002130
41,Food Bioscience,"1,230",3.067,0.002300
42,Food Structure-Netherlands,307,3.064,0.000750
43,JOURNAL OF CEREAL SCIENCE,"9,594",2.938,0.006790
44,PLANT FOODS FOR HUMAN NUTRITION,"3,406",2.901,0.001800
45,OENO One,258,2.831,0.000440
46,JOURNAL OF SENSORY STUDIES,"2,006",2.780,0.001300
47,INTERNATIONAL JOURNAL OF FOOD SCIENCE AND TECHNOLOGY,"11,082",2.773,0.008190
48,EFSA Journal,"10,555",2.740,0.011100
49,Food Analytical Methods,"5,533",2.667,0.009480
50,JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE,"25,333",2.614,0.018330
51,Food Additives & Contaminants Part B-Surveillance,973,2.602,0.001280
52,Analytical Methods,"15,487",2.596,0.026260
53,INTERNATIONAL DAIRY JOURNAL,"8,822",2.512,0.004810
54,JOURNAL OF FOOD SCIENCE,"26,598",2.478,0.011160
55,Food Science and Human Wellness,688,2.455,0.001140
56,Foodborne Pathogens and Disease,"3,787",2.441,0.004850
57,Food Biophysics,"1,442",2.387,0.001580
58,EUROPEAN FOOD RESEARCH AND TECHNOLOGY,"9,102",2.366,0.005460
58,JOURNAL OF BIOSCIENCE AND BIOENGINEERING,"8,673",2.366,0.007330
60,Food Additives and Contaminants Part A-Chemistry Analysis Control Exposure & Risk Assessment,"8,160",2.340,0.006210
61,BIOTECHNOLOGY PROGRESS,"7,909",2.334,0.004790
62,World Mycotoxin Journal,"1,133",2.306,0.001370
63,CHEMICAL SENSES,"4,553",2.261,0.003220
64,STARCH-STARKE,"5,432",2.226,0.003660
65,International Journal of Gastronomy and Food Science,351,2.186,0.000490
66,Microbial Risk Analysis,132,2.182,0.000320
67,FOOD TECHNOLOGY AND BIOTECHNOLOGY,"2,253",2.115,0.001400
68,AMERICAN JOURNAL OF ENOLOGY AND VITICULTURE,"6,614",2.113,0.001580
69,British Food Journal,"4,996",2.102,0.003390
70,Food Security,"2,439",2.095,0.004200
71,EUROPEAN JOURNAL OF LIPID SCIENCE AND TECHNOLOGY,"6,035",2.056,0.005390
72,Chemosensory Perception,495,2.000,0.000550
