"Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SCIE Selected Categories: 'GEOGRAPHY, PHYSICAL' Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,"13,946",7.319,0.022100
2,GLOBAL ECOLOGY AND BIOGEOGRAPHY,"12,959",6.446,0.022350
3,GIScience & Remote Sensing,"1,447",5.965,0.002090
4,LANDSCAPE AND URBAN PLANNING,"18,415",5.441,0.015980
5,Cryosphere,"7,357",4.713,0.020220
6,GLOBAL AND PLANETARY CHANGE,"11,118",4.448,0.015340
7,Earth Surface Dynamics,980,3.928,0.004150
8,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,"11,579",3.827,0.028050
9,GEOMORPHOLOGY,"24,100",3.819,0.025150
10,QUATERNARY SCIENCE REVIEWS,"24,054",3.803,0.034000
11,INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,"6,259",3.733,0.005790
12,JOURNAL OF BIOGEOGRAPHY,"15,932",3.723,0.018710
13,EARTH SURFACE PROCESSES AND LANDFORMS,"12,465",3.694,0.012790
14,Progress in Physical Geography-Earth and Environment,"4,180",3.488,0.003290
15,Anthropocene,831,3.390,0.001990
16,LANDSCAPE ECOLOGY,"9,901",3.385,0.010050
17,International Journal of Digital Earth,"1,718",3.097,0.002620
18,Quaternary Geochronology,"3,021",3.079,0.006090
19,JOURNAL OF GLACIOLOGY,"6,368",3.024,0.007350
20,Journal of Geographical Sciences,"3,298",2.851,0.003860
21,PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY,"24,807",2.833,0.024800
22,Aeolian Research,"1,679",2.763,0.003480
23,PERMAFROST AND PERIGLACIAL PROCESSES,"2,145",2.701,0.001850
24,BOREAS,"2,774",2.477,0.003250
25,JOURNAL OF QUATERNARY SCIENCE,"4,183",2.377,0.004430
26,Journal of Maps,"1,545",2.365,0.002810
27,HOLOCENE,"6,923",2.353,0.008150
28,ANNALS OF GLACIOLOGY,"3,685",2.318,0.003510
29,QUATERNARY RESEARCH,"7,089",2.310,0.004440
30,DENDROCHRONOLOGIA,"1,696",2.293,0.002110
31,ISPRS International Journal of Geo-Information,"3,730",2.239,0.006660
32,QUATERNARY INTERNATIONAL,"16,400",2.003,0.025710
33,PHOTOGRAMMETRIC RECORD,821,1.867,0.000690
34,ARCTIC ANTARCTIC AND ALPINE RESEARCH,"3,112",1.784,0.002240
35,GEOINFORMATICA,767,1.774,0.000950
36,GEOGRAFISKA ANNALER SERIES A-PHYSICAL GEOGRAPHY,"1,425",1.773,0.001060
37,Erdkunde,531,1.639,0.000420
38,ARCTIC,"1,861",1.540,0.001260
39,MOUNTAIN RESEARCH AND DEVELOPMENT,"2,078",1.494,0.001220
40,PHYSICAL GEOGRAPHY,"1,127",1.435,0.000670
41,ANTARCTIC SCIENCE,"2,058",1.417,0.001740
42,Journal of Spatial Science,356,1.405,0.000570
43,Acta Geographica Slovenica-Geografski Zbornik,278,1.341,0.000130
44,PHOTOGRAMMETRIC ENGINEERING AND REMOTE SENSING,"7,000",1.265,0.003350
45,Geografia Fisica e Dinamica Quaternaria,411,1.258,0.000400
46,ZEITSCHRIFT FUR GEOMORPHOLOGIE,"1,391",1.063,0.000780
47,JOURNAL OF COASTAL RESEARCH,"9,405",0.793,0.005820
48,Geomorphologie-Relief Processus Environnement,357,0.775,0.000270
49,ERDE,238,0.737,0.000270
50,Revista de Geografia Norte Grande,442,0.689,0.000480
Copyright © 2020 Clarivate Analytics,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,
