"Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SCIE Selected Categories: 'GEOSCIENCES, MULTIDISCIPLINARY' Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,Nature Geoscience,"26,563",13.566,0.068150
2,EARTH-SCIENCE REVIEWS,"20,241",9.724,0.033720
3,Earth System Science Data,"3,388",9.197,0.013750
4,Annual Review of Earth and Planetary Sciences,"8,731",9.089,0.008570
5,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,"13,946",7.319,0.022100
6,GONDWANA RESEARCH,"14,559",6.174,0.025730
7,Earths Future,"2,369",6.141,0.009830
8,INTERNATIONAL JOURNAL OF COAL GEOLOGY,"14,383",5.692,0.014290
9,Geoscientific Model Development,"9,092",5.240,0.029590
10,HYDROLOGY AND EARTH SYSTEM SCIENCES,"19,937",5.153,0.031130
11,ENGINEERING GEOLOGY,"17,188",4.779,0.017020
12,Cryosphere,"7,357",4.713,0.020220
13,Landslides,"5,665",4.708,0.008810
14,GLOBAL BIOGEOCHEMICAL CYCLES,"14,713",4.608,0.015310
15,Advances in Geophysics,582,4.500,0.000300
15,JOURNAL OF HYDROLOGY,"59,291",4.500,0.055090
17,GEOPHYSICAL RESEARCH LETTERS,"107,895",4.497,0.174590
18,GLOBAL AND PLANETARY CHANGE,"11,118",4.448,0.015340
19,PRECAMBRIAN RESEARCH,"20,702",4.427,0.020570
20,Geobiology,"2,390",4.385,0.004450
21,CATENA,"16,147",4.333,0.018390
22,Geoscience Frontiers,"3,421",4.202,0.008400
23,BIOGEOCHEMISTRY,"11,281",4.161,0.010510
24,ROCK MECHANICS AND ROCK ENGINEERING,"10,454",4.140,0.016070
25,ASTROBIOLOGY,"4,070",4.091,0.006180
26,Earth Surface Dynamics,980,3.928,0.004150
27,Earth System Dynamics,"1,506",3.866,0.005200
28,GEOMORPHOLOGY,"24,100",3.819,0.025150
29,COMPUTERS AND GEOTECHNICS,"9,308",3.818,0.013620
30,QUATERNARY SCIENCE REVIEWS,"24,054",3.803,0.034000
31,MARINE AND PETROLEUM GEOLOGY,"15,147",3.790,0.020530
32,Geocarto International,"1,908",3.789,0.002390
33,Natural Resources Research,932,3.708,0.000960
