Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SCIE Selected Categories: 'MATHEMATICS' Selected Category Scheme: WoS,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,ACTA NUMERICA,"2,068",8.455,0.003270
2,JOURNAL OF THE AMERICAN MATHEMATICAL SOCIETY,"3,894",5.413,0.012480
3,Publications Mathematiques de l IHES,"1,789",4.250,0.004290
4,ANNALS OF MATHEMATICS,"12,709",3.918,0.018990
5,Forum of Mathematics Pi,137,3.857,0.001960
6,Journal of Numerical Mathematics,475,3.240,0.000900
7,Fractional Calculus and Applied Analysis,"2,182",3.170,0.004490
8,INVENTIONES MATHEMATICAE,"9,771",2.986,0.023100
9,MEMOIRS OF THE AMERICAN MATHEMATICAL SOCIETY,"2,884",2.895,0.008220
10,COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS,"9,529",2.676,0.013550
11,Advances in Nonlinear Analysis,448,2.667,0.002100
12,FOUNDATIONS OF COMPUTATIONAL MATHEMATICS,"1,672",2.476,0.007300
13,ACTA MATHEMATICA,"4,569",2.458,0.004540
14,Advances in Difference Equations,"4,694",2.421,0.007490
15,Iranian Journal of Fuzzy Systems,824,2.276,0.000900
16,Communications in Number Theory and Physics,462,2.250,0.001820
17,Bulletin of Mathematical Sciences,222,2.241,0.001920
18,DUKE MATHEMATICAL JOURNAL,"6,726",2.194,0.017040
19,JOURNAL OF DIFFERENTIAL EQUATIONS,"16,055",2.192,0.039870
20,JOURNAL OF THE EUROPEAN MATHEMATICAL SOCIETY,"2,140",2.190,0.016100
21,JOURNAL OF DIFFERENTIAL GEOMETRY,"4,743",2.167,0.007990
22,Analysis and Mathematical Physics,360,2.056,0.000920
23,Dissertationes Mathematicae,309,1.941,0.000620
24,Journal of Function Spaces,821,1.896,0.001960
25,JOURNAL DE MATHEMATIQUES PURES ET APPLIQUEES,"3,540",1.885,0.011060
26,Electronic Journal of Qualitative Theory of Differential Equations,"1,363",1.827,0.002950
27,Boundary Value Problems,"2,424",1.794,0.004080
28,Mathematics,"1,647",1.747,0.001600
29,Journal of Fixed Point Theory and Applications,958,1.741,0.003680
30,ASTERISQUE,"1,773",1.727,0.003460
31,Analysis & PDE,884,1.712,0.008150
32,AMERICAN JOURNAL OF MATHEMATICS,"5,491",1.711,0.007140
33,ANNALES SCIENTIFIQUES DE L ECOLE NORMALE SUPERIEURE,"2,611",1.706,0.007370
34,Numerical Mathematics-Theory Methods and Applications,408,1.659,0.001080
35,Journal of Topology,597,1.642,0.006390
36,Japanese Journal of Mathematics,452,1.636,0.000510
37,Cambridge Journal of Mathematics,130,1.625,0.001990
38,JOURNAL OF ALGEBRAIC GEOMETRY,860,1.590,0.003420
39,NONLINEAR ANALYSIS-THEORY METHODS & APPLICATIONS,"11,185",1.587,0.017580
40,ADVANCED NONLINEAR STUDIES,778,1.533,0.003100
41,CONSTRUCTIVE APPROXIMATION,"1,370",1.531,0.002680
42,CALCULUS OF VARIATIONS AND PARTIAL DIFFERENTIAL EQUATIONS,"3,588",1.526,0.020220
43,CALCOLO,733,1.521,0.001990
44,MATHEMATICAL INEQUALITIES & APPLICATIONS,"1,093",1.510,0.002260
45,Applicable Analysis and Discrete Mathematics,388,1.500,0.001210
45,Communications in Mathematics and Statistics,175,1.500,0.001160
47,JOURNAL OF FUNCTIONAL ANALYSIS,"10,915",1.496,0.027340
48,ADVANCES IN MATHEMATICS,"10,705",1.494,0.045660
49,JOURNAL FUR DIE REINE UND ANGEWANDTE MATHEMATIK,"6,241",1.486,0.013740
50,GEOMETRY & TOPOLOGY,"1,759",1.479,0.011670
51,FINITE FIELDS AND THEIR APPLICATIONS,"1,296",1.478,0.005700
52,Journal of Dynamics and Differential Equations,"1,434",1.473,0.003170
53,JOURNAL OF INEQUALITIES AND APPLICATIONS,"3,932",1.470,0.007230
54,Forum of Mathematics Sigma,245,1.464,0.003760
55,Carpathian Journal of Mathematics,389,1.438,0.000640
56,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales Serie A-Matematicas,876,1.406,0.002130
57,Qualitative Theory of Dynamical Systems,293,1.400,0.000830
58,NUMERICAL LINEAR ALGEBRA WITH APPLICATIONS,"1,534",1.373,0.003260
59,PROCEEDINGS OF THE LONDON MATHEMATICAL SOCIETY,"4,859",1.366,0.009330
60,TRANSACTIONS OF THE AMERICAN MATHEMATICAL SOCIETY,"16,293",1.363,0.030270
61,GEOMETRIC AND FUNCTIONAL ANALYSIS,"2,336",1.354,0.008310
62,POTENTIAL ANALYSIS,"1,084",1.353,0.004900
63,RUSSIAN MATHEMATICAL SURVEYS,"2,966",1.345,0.003030
64,DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS,"4,189",1.338,0.016160
64,JOURNAL OF COMPLEXITY,"1,052",1.338,0.001930
66,BULLETIN OF THE AMERICAN MATHEMATICAL SOCIETY,"4,928",1.324,0.002030
67,Journal of Mathematical Logic,138,1.318,0.001020
68,Kinetic and Related Models,604,1.311,0.002070
69,JOURNAL OF COMBINATORIAL THEORY SERIES B,"3,027",1.306,0.006140
70,INTERNATIONAL MATHEMATICS RESEARCH NOTICES,"4,436",1.291,0.026950
71,Fixed Point Theory,465,1.287,0.000760
72,COMMUNICATIONS IN CONTEMPORARY MATHEMATICS,"1,177",1.278,0.005730
73,Advances in Calculus of Variations,231,1.275,0.001440
74,Journal of the Institute of Mathematics of Jussieu,472,1.254,0.002780
75,Journal of Applied Mathematics and Computing,"1,223",1.242,0.001600
76,PUBLICACIONS MATEMATIQUES,467,1.238,0.001680
77,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,"24,068",1.220,0.042320
78,Journal of Mathematical Inequalities,717,1.219,0.001690
79,Mediterranean Journal of Mathematics,"1,417",1.216,0.005000
80,ERGODIC THEORY AND DYNAMICAL SYSTEMS,"2,413",1.211,0.007170
81,COMPOSITIO MATHEMATICA,"3,157",1.200,0.011660
82,JOURNAL OF EVOLUTION EQUATIONS,732,1.181,0.002980
83,Results in Mathematics,"1,326",1.162,0.003150
84,COMBINATORICA,"1,920",1.143,0.004020
85,REVISTA MATEMATICA IBEROAMERICANA,"1,422",1.142,0.004650
86,Analysis and Applications,444,1.141,0.001570
87,MATHEMATISCHE ANNALEN,"8,376",1.136,0.016080
88,JOURNAL OF COMBINATORIAL THEORY SERIES A,"3,062",1.133,0.007500
89,IZVESTIYA MATHEMATICS,740,1.130,0.002540
90,Journal of Spectral Theory,247,1.129,0.002170
91,JOURNAL OF THE LONDON MATHEMATICAL SOCIETY-SECOND SERIES,"4,371",1.121,0.007280
92,JOURNAL OF COMPUTATIONAL MATHEMATICS,964,1.118,0.001650
93,Milan Journal of Mathematics,324,1.115,0.000740
94,LINEAR & MULTILINEAR ALGEBRA,"1,908",1.112,0.006470
95,COMMUNICATIONS ON PURE AND APPLIED ANALYSIS,"1,552",1.105,0.005140
95,International Journal of Numerical Analysis and Modeling,636,1.105,0.001380
97,Quantum Topology,184,1.083,0.001480
98,COMMUNICATIONS IN PARTIAL DIFFERENTIAL EQUATIONS,"4,204",1.079,0.007310
99,INDIANA UNIVERSITY MATHEMATICS JOURNAL,"3,706",1.065,0.006550
100,Differential and Integral Equations,"1,366",1.060,0.002170
101,Advances in Differential Equations,917,1.059,0.002040
101,Algebraic Geometry,176,1.059,0.003040
103,JOURNAL OF GEOMETRY AND PHYSICS,"2,385",1.056,0.006640
104,Selecta Mathematica-New Series,918,1.053,0.006790
105,Quaestiones Mathematicae,606,1.049,0.001370
106,RANDOM STRUCTURES & ALGORITHMS,"1,565",1.047,0.004090
107,ANNALI DELLA SCUOLA NORMALE SUPERIORE DI PISA-CLASSE DI SCIENZE,"1,995",1.030,0.004240
107,Frontiers of Mathematics in China,625,1.030,0.002130
109,Journal of Nonlinear and Convex Analysis,"1,244",1.029,0.002860
110,Science China-Mathematics,"1,513",1.025,0.007580
111,PROCEEDINGS OF THE ROYAL SOCIETY OF EDINBURGH SECTION A-MATHEMATICS,"2,229",1.009,0.003370
112,POSITIVITY,685,1.005,0.001920
113,TOHOKU MATHEMATICAL JOURNAL,"1,219",1.000,0.001520
114,ANNALS OF GLOBAL ANALYSIS AND GEOMETRY,780,0.989,0.002550
115,LINEAR ALGEBRA AND ITS APPLICATIONS,"10,811",0.988,0.017580
115,Rendiconti Lincei-Matematica e Applicazioni,330,0.988,0.001810
117,RICERCHE DI MATEMATICA,457,0.970,0.000830
118,Banach Journal of Mathematical Analysis,394,0.969,0.001830
119,ANNALI DI MATEMATICA PURA ED APPLICATA,"2,050",0.959,0.005390
120,Mathematical Modelling and Analysis,421,0.957,0.000770
121,STUDIA MATHEMATICA,"2,896",0.955,0.003290
122,Evolution Equations and Control Theory,224,0.953,0.001300
123,JOURNAL D ANALYSE MATHEMATIQUE,"1,623",0.949,0.003050
124,Mathematical Sciences,355,0.945,0.000350
125,MONATSHEFTE FUR MATHEMATIK,"1,487",0.933,0.004790
126,LOGIC JOURNAL OF THE IGPL,440,0.931,0.001050
127,Journal of Integral Equations and Applications,364,0.930,0.000630
128,PROCEEDINGS OF THE AMERICAN MATHEMATICAL SOCIETY,"13,219",0.927,0.023410
129,Journal of Inverse and Ill-Posed Problems,694,0.926,0.001470
130,JOURNAL OF GEOMETRIC ANALYSIS,"1,406",0.924,0.008700
131,JOURNAL OF GRAPH THEORY,"2,182",0.922,0.005280
132,INTEGRAL EQUATIONS AND OPERATOR THEORY,"1,457",0.921,0.003320
133,Algebra & Number Theory,675,0.920,0.006760
134,ACTA MATHEMATICA SCIENTIA,"1,353",0.919,0.002550
135,MATHEMATISCHE NACHRICHTEN,"2,627",0.910,0.006710
136,ISRAEL JOURNAL OF MATHEMATICS,"3,626",0.894,0.011150
137,AIMS Mathematics,120,0.882,0.000480
137,INDAGATIONES MATHEMATICAE-NEW SERIES,639,0.882,0.002630
139,CANADIAN JOURNAL OF MATHEMATICS-JOURNAL CANADIEN DE MATHEMATIQUES,"2,601",0.881,0.003630
139,MATHEMATISCHE ZEITSCHRIFT,"5,934",0.881,0.012490
141,EXPOSITIONES MATHEMATICAE,489,0.880,0.001310
142,COMBINATORICS PROBABILITY & COMPUTING,"1,056",0.879,0.003620
143,Algebraic and Geometric Topology,"1,180",0.876,0.008260
144,MATHEMATIKA,866,0.875,0.002320
145,Mathematical Control and Related Fields,239,0.857,0.001460
146,Bulletin of the Malaysian Mathematical Sciences Society,995,0.856,0.002130
147,Revista Matematica Complutense,441,0.855,0.001670
148,COMMENTARII MATHEMATICI HELVETICI,"1,809",0.854,0.003350
149,Aequationes Mathematicae,"1,027",0.851,0.001490
150,COMPUTATIONAL COMPLEXITY,594,0.850,0.000650
151,EUROPEAN JOURNAL OF COMBINATORICS,"2,432",0.848,0.007830
151,Filomat,"2,449",0.848,0.005540
153,Analele Stiintifice ale Universitatii Ovidius Constanta-Seria Matematica,335,0.844,0.000550
154,Research in the Mathematical Sciences,208,0.831,0.002410
155,JOURNAL OF APPROXIMATION THEORY,"2,092",0.825,0.003280
156,PUBLICATIONS OF THE RESEARCH INSTITUTE FOR MATHEMATICAL SCIENCES,"1,027",0.822,0.001440
157,Electronic Journal of Differential Equations,"2,471",0.820,0.005750
158,Journal of Topology and Analysis,219,0.817,0.001820
159,JOURNAL OF ALGEBRAIC COMBINATORICS,"1,045",0.805,0.004310
159,Mathematical Communications,270,0.805,0.000250
161,SBORNIK MATHEMATICS,"3,067",0.800,0.003170
161,St Petersburg Mathematical Journal,716,0.800,0.001630
163,ANNALES DE L INSTITUT FOURIER,"2,352",0.794,0.005910
164,RAMANUJAN JOURNAL,909,0.790,0.003390
165,ANNALES ACADEMIAE SCIENTIARUM FENNICAE-MATHEMATICA,"1,267",0.789,0.003080
166,BULLETIN OF THE LONDON MATHEMATICAL SOCIETY,"2,185",0.787,0.006730
167,Open Mathematics,487,0.773,0.001590
168,DISCRETE MATHEMATICS,"7,612",0.770,0.012000
168,JOURNAL OF PURE AND APPLIED ALGEBRA,"3,758",0.770,0.010680
170,Collectanea Mathematica,452,0.769,0.001150
