"Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SCIE Selected Categories: 'MATHEMATICS, APPLIED' Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,SIAM REVIEW,"9,060",11.431,0.008660
2,Nonlinear Analysis-Hybrid Systems,"2,147",5.881,0.005070
3,Communications in Nonlinear Science and Numerical Simulation,"12,329",4.115,0.017780
4,Forum of Mathematics Pi,137,3.857,0.001960
5,APPLIED MATHEMATICS LETTERS,"8,496",3.848,0.012640
6,INTERNATIONAL JOURNAL OF ROBUST AND NONLINEAR CONTROL,"7,831",3.503,0.016660
7,APPLIED MATHEMATICS AND COMPUTATION,"30,975",3.472,0.041770
8,COMPUTERS & MATHEMATICS WITH APPLICATIONS,"17,189",3.370,0.020120
9,INFORMATICA,717,3.312,0.000760
10,FUZZY SETS AND SYSTEMS,"17,605",3.305,0.008740
11,Journal of Numerical Mathematics,475,3.240,0.000900
12,Fractional Calculus and Applied Analysis,"2,182",3.170,0.004490
13,STUDIES IN APPLIED MATHEMATICS,"1,857",3.108,0.002400
14,MATHEMATICAL MODELS & METHODS IN APPLIED SCIENCES,"3,560",3.044,0.009950
15,FINITE ELEMENTS IN ANALYSIS AND DESIGN,"4,381",2.949,0.004570
16,CHAOS,"9,288",2.832,0.015210
17,MATHEMATICAL PROGRAMMING,"10,266",2.823,0.019680
18,Nonlinear Analysis-Modelling and Control,907,2.780,0.001340
19,SIAM JOURNAL ON NUMERICAL ANALYSIS,"12,416",2.712,0.015760
20,COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS,"9,529",2.676,0.013550
21,Advances in Nonlinear Analysis,448,2.667,0.002100
22,APPLIED AND COMPUTATIONAL HARMONIC ANALYSIS,"3,232",2.573,0.006410
23,FOUNDATIONS OF COMPUTATIONAL MATHEMATICS,"1,672",2.476,0.007300
24,Advances in Difference Equations,"4,694",2.421,0.007490
25,ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS,"9,518",2.420,0.018340
26,APPLIED MATHEMATICS AND OPTIMIZATION,"1,451",2.369,0.002950
27,Applied and Computational Mathematics,349,2.354,0.000890
28,SIAM Journal on Imaging Sciences,"3,789",2.313,0.010070
29,Iranian Journal of Fuzzy Systems,824,2.276,0.000900
30,IMA JOURNAL OF NUMERICAL ANALYSIS,"2,626",2.275,0.006910
31,Communications in Number Theory and Physics,462,2.250,0.001820
32,SIAM JOURNAL ON OPTIMIZATION,"7,709",2.247,0.016410
33,NUMERICAL METHODS FOR PARTIAL DIFFERENTIAL EQUATIONS,"2,380",2.236,0.004000
34,JOURNAL OF SCIENTIFIC COMPUTING,"5,115",2.228,0.015090
35,JOURNAL OF THE EUROPEAN MATHEMATICAL SOCIETY,"2,140",2.190,0.016100
36,JOURNAL OF NONLINEAR SCIENCE,"1,552",2.104,0.004330
37,NONLINEAR ANALYSIS-REAL WORLD APPLICATIONS,"4,781",2.072,0.007850
38,MATHEMATICS OF COMPUTATION,"8,520",2.070,0.012280
39,NUMERICAL ALGORITHMS,"3,529",2.064,0.007550
40,Analysis and Mathematical Physics,360,2.056,0.000920
40,NUMERISCHE MATHEMATIK,"6,772",2.056,0.008740
42,ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,"3,956",2.043,0.003890
43,JOURNAL OF COMPUTATIONAL AND APPLIED MATHEMATICS,"16,019",2.037,0.020410
44,APPLIED MATHEMATICS AND MECHANICS-ENGLISH EDITION,"2,589",2.017,0.002440
45,INVERSE PROBLEMS,"7,173",1.985,0.009630
46,APPLIED NUMERICAL MATHEMATICS,"4,044",1.979,0.005990
47,SIAM JOURNAL ON SCIENTIFIC COMPUTING,"13,396",1.976,0.023490
48,Advances in Applied Mathematics and Mechanics,687,1.961,0.001490
49,SIAM JOURNAL ON APPLIED DYNAMICAL SYSTEMS,"1,640",1.956,0.004510
50,Journal of Function Spaces,821,1.896,0.001960
51,JOURNAL DE MATHEMATIQUES PURES ET APPLIQUEES,"3,540",1.885,0.011060
52,ANNALES DE L INSTITUT HENRI POINCARE-ANALYSE NON LINEAIRE,"3,101",1.850,0.009240
53,East Asian Journal on Applied Mathematics,353,1.848,0.000770
54,Electronic Journal of Qualitative Theory of Differential Equations,"1,363",1.827,0.002950
55,PHYSICA D-NONLINEAR PHENOMENA,"11,580",1.807,0.006100
56,JOURNAL OF GLOBAL OPTIMIZATION,"5,923",1.805,0.006160
57,Boundary Value Problems,"2,424",1.794,0.004080
58,MATHEMATICS OF OPERATIONS RESEARCH,"3,870",1.783,0.006170
59,ADVANCES IN COMPUTATIONAL MATHEMATICS,"2,159",1.748,0.003810
60,COMPUTATIONAL OPTIMIZATION AND APPLICATIONS,"2,459",1.743,0.006080
61,Journal of Fixed Point Theory and Applications,958,1.741,0.003680
62,SIAM JOURNAL ON CONTROL AND OPTIMIZATION,"7,703",1.715,0.012530
63,Analysis & PDE,884,1.712,0.008150
64,Archives of Control Sciences,263,1.697,0.000300
65,Numerical Mathematics-Theory Methods and Applications,408,1.659,0.001080
66,Mathematical Modelling of Natural Phenomena,854,1.642,0.001420
67,MATHEMATICAL METHODS IN THE APPLIED SCIENCES,"5,470",1.626,0.013230
68,MATHEMATICS AND COMPUTERS IN SIMULATION,"3,955",1.620,0.003620
69,INTERNATIONAL JOURNAL OF COMPUTER MATHEMATICS,"2,636",1.600,0.004080
70,NONLINEAR ANALYSIS-THEORY METHODS & APPLICATIONS,"11,185",1.587,0.017580
71,Journal of Applied Analysis and Computation,683,1.573,0.001630
72,SIAM JOURNAL ON APPLIED MATHEMATICS,"6,970",1.551,0.007120
73,ADVANCED NONLINEAR STUDIES,778,1.533,0.003100
74,CALCULUS OF VARIATIONS AND PARTIAL DIFFERENTIAL EQUATIONS,"3,588",1.526,0.020220
75,DESIGNS CODES AND CRYPTOGRAPHY,"2,212",1.524,0.008410
76,CALCOLO,733,1.521,0.001990
77,OPTIMIZATION,"1,939",1.520,0.005080
78,NONLINEARITY,"5,192",1.505,0.014340
79,Optimization Letters,"1,533",1.502,0.004880
80,Applicable Analysis and Discrete Mathematics,388,1.500,0.001210
81,IMA JOURNAL OF APPLIED MATHEMATICS,"1,461",1.490,0.002100
81,SIAM JOURNAL ON MATRIX ANALYSIS AND APPLICATIONS,"4,482",1.490,0.007540
83,EUROPEAN JOURNAL OF APPLIED MATHEMATICS,966,1.487,0.001770
84,FINITE FIELDS AND THEIR APPLICATIONS,"1,296",1.478,0.005700
85,Set-Valued and Variational Analysis,427,1.476,0.001890
86,Journal of Dynamics and Differential Equations,"1,434",1.473,0.003170
87,JOURNAL OF INEQUALITIES AND APPLICATIONS,"3,932",1.470,0.007230
88,INTERNATIONAL JOURNAL OF NONLINEAR SCIENCES AND NUMERICAL SIMULATION,974,1.467,0.000760
89,Forum of Mathematics Sigma,245,1.464,0.003760
90,JOURNAL OF FOURIER ANALYSIS AND APPLICATIONS,"1,741",1.442,0.003880
91,Carpathian Journal of Mathematics,389,1.438,0.000640
92,OPTIMIZATION METHODS & SOFTWARE,"1,976",1.431,0.003000
93,ZEITSCHRIFT FUR ANGEWANDTE MATHEMATIK UND PHYSIK,"3,506",1.428,0.006620
94,Qualitative Theory of Dynamical Systems,293,1.400,0.000830
95,SIAM JOURNAL ON MATHEMATICAL ANALYSIS,"6,327",1.392,0.015210
96,Stochastics and Partial Differential Equations-Analysis and Computations,266,1.390,0.002040
97,JOURNAL OF OPTIMIZATION THEORY AND APPLICATIONS,"6,583",1.388,0.010350
98,ACM Transactions on Modeling and Computer Simulation,714,1.380,0.000850
99,Inverse Problems and Imaging,917,1.373,0.002720
99,NUMERICAL LINEAR ALGEBRA WITH APPLICATIONS,"1,534",1.373,0.003260
101,COMPUTATIONAL & APPLIED MATHEMATICS,"1,254",1.360,0.002710
102,ESAIM-MATHEMATICAL MODELLING AND NUMERICAL ANALYSIS-MODELISATION MATHEMATIQUE ET ANALYSE NUMERIQUE,"2,117",1.353,0.006430
102,JOURNAL OF MATHEMATICAL IMAGING AND VISION,"2,085",1.353,0.004820
104,DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS,"4,189",1.338,0.016160
104,JOURNAL OF COMPLEXITY,"1,052",1.338,0.001930
106,BIT NUMERICAL MATHEMATICS,"2,100",1.330,0.003480
107,Kinetic and Related Models,604,1.311,0.002070
108,FUNDAMENTA INFORMATICAE,"1,858",1.298,0.003700
109,Cryptography and Communications-Discrete-Structures Boolean Functions and Sequences,301,1.291,0.001820
110,Fixed Point Theory,465,1.287,0.000760
111,REGULAR & CHAOTIC DYNAMICS,837,1.285,0.001770
112,COMMUNICATIONS IN CONTEMPORARY MATHEMATICS,"1,177",1.278,0.005730
113,JOURNAL OF CRYPTOLOGY,"1,486",1.277,0.000780
114,Advances in Calculus of Variations,231,1.275,0.001440
115,DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS-SERIES B,"2,476",1.270,0.007090
116,SIAM JOURNAL ON COMPUTING,"6,157",1.266,0.005470
117,QUARTERLY JOURNAL OF MECHANICS AND APPLIED MATHEMATICS,"1,399",1.265,0.000630
118,OPTIMAL CONTROL APPLICATIONS & METHODS,"1,180",1.252,0.001830
119,Journal of Applied Mathematics and Computing,"1,223",1.242,0.001600
120,BULLETIN DES SCIENCES MATHEMATIQUES,"1,191",1.241,0.001580
121,Discrete and Continuous Dynamical Systems-Series S,804,1.233,0.002610
122,COMPUTER AIDED GEOMETRIC DESIGN,"1,721",1.230,0.002070
123,Computational Methods in Applied Mathematics,419,1.225,0.001720
124,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,"24,068",1.220,0.042320
125,Journal of Mathematical Inequalities,717,1.219,0.001690
126,Mediterranean Journal of Mathematics,"1,417",1.216,0.005000
127,ERGODIC THEORY AND DYNAMICAL SYSTEMS,"2,413",1.211,0.007170
128,MATHEMATICAL PHYSICS ANALYSIS AND GEOMETRY,322,1.190,0.001490
129,ESAIM-CONTROL OPTIMISATION AND CALCULUS OF VARIATIONS,"1,301",1.181,0.004020
129,JOURNAL OF EVOLUTION EQUATIONS,732,1.181,0.002980
131,JOURNAL OF DIFFERENCE EQUATIONS AND APPLICATIONS,"1,376",1.162,0.002250
131,Results in Mathematics,"1,326",1.162,0.003150
133,Dynamics of Partial Differential Equations,258,1.152,0.000810
134,Analysis and Applications,444,1.141,0.001570
135,NODEA-NONLINEAR DIFFERENTIAL EQUATIONS AND APPLICATIONS,969,1.132,0.003940
136,Journal of Spectral Theory,247,1.129,0.002170
137,JOURNAL OF COMPUTATIONAL MATHEMATICS,964,1.118,0.001650
138,Milan Journal of Mathematics,324,1.115,0.000740
139,APPLICABLE ANALYSIS,"2,188",1.107,0.004870
140,COMMUNICATIONS ON PURE AND APPLIED ANALYSIS,"1,552",1.105,0.005140
140,International Journal of Numerical Analysis and Modeling,636,1.105,0.001380
142,ZAMM-Zeitschrift fur Angewandte Mathematik und Mechanik,"2,984",1.103,0.002370
143,JOURNAL OF DYNAMICAL AND CONTROL SYSTEMS,477,1.093,0.001180
144,COMMUNICATIONS IN PARTIAL DIFFERENTIAL EQUATIONS,"4,204",1.079,0.007310
145,Advances in Applied Clifford Algebras,782,1.066,0.001160
146,Differential and Integral Equations,"1,366",1.060,0.002170
147,Advances in Differential Equations,917,1.059,0.002040
148,Selecta Mathematica-New Series,918,1.053,0.006790
149,RANDOM STRUCTURES & ALGORITHMS,"1,565",1.047,0.004090
150,DISCRETE APPLIED MATHEMATICS,"6,495",1.041,0.012980
151,STOCHASTIC ANALYSIS AND APPLICATIONS,985,1.035,0.001730
152,IMA JOURNAL OF MATHEMATICAL CONTROL AND INFORMATION,712,1.034,0.001050
153,Journal of Nonlinear and Convex Analysis,"1,244",1.029,0.002860
154,Science China-Mathematics,"1,513",1.025,0.007580
155,PROCEEDINGS OF THE ROYAL SOCIETY OF EDINBURGH SECTION A-MATHEMATICS,"2,229",1.009,0.003370
