Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SCIE Selected Categories: 'MULTIDISCIPLINARY SCIENCES' Selected Category Scheme: WoS,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,NATURE,"767,209",42.778,1.216730
2,SCIENCE,"699,842",41.845,1.022660
3,National Science Review,"2,775",16.693,0.009760
4,Science Advances,"36,380",13.116,0.172060
5,Nature Human Behaviour,"2,457",12.282,0.014190
6,Nature Communications,"312,599",12.121,1.259510
7,Science Bulletin,"5,172",9.511,0.014150
8,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,"676,425",9.412,0.931890
9,Journal of Advanced Research,"3,564",6.992,0.005470
10,GigaScience,"4,068",5.993,0.016410
11,Scientific Data,"5,761",5.541,0.028720
12,Research Synthesis Methods,"2,572",5.299,0.006440
13,ANNALS OF THE NEW YORK ACADEMY OF SCIENCES,"45,596",4.728,0.026370
14,FRACTALS-COMPLEX GEOMETRY PATTERNS AND SCALING IN NATURE AND SOCIETY,"2,156",4.536,0.002210
15,iScience,"1,410",4.447,0.004140
16,GLOBAL CHALLENGES,481,4.306,0.001440
17,Scientific Reports,"386,848",3.998,1.231180
18,JOURNAL OF KING SAUD UNIVERSITY SCIENCE,"1,640",3.819,0.002020
19,Journal of the Royal Society Interface,"13,762",3.748,0.027670
20,Frontiers in Bioengineering and Biotechnology,"2,770",3.644,0.007650
21,NPJ Microgravity,346,3.380,0.001210
22,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES,"20,609",3.275,0.027840
23,PROCEEDINGS OF THE JAPAN ACADEMY SERIES B-PHYSICAL AND BIOLOGICAL SCIENCES,"1,669",3.000,0.001980
24,Advanced Theory and Simulations,432,2.951,0.000700
25,SCIENCE AND ENGINEERING ETHICS,"2,129",2.787,0.003760
26,PROCEEDINGS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES,"19,218",2.741,0.018450
27,PLoS One,"688,763",2.740,1.388860
28,Royal Society Open Science,"7,222",2.647,0.027340
29,Symmetry-Basel,"4,888",2.645,0.005390
30,INTERNATIONAL JOURNAL OF BIFURCATION AND CHAOS,"7,115",2.469,0.007090
31,COMPLEXITY,"4,413",2.462,0.007160
32,PeerJ,"17,984",2.379,0.062850
33,MIT Technology Review,871,2.357,0.001810
34,Science of Nature,673,2.090,0.002400
35,SCIENCE PROGRESS,499,1.906,0.000340
36,SOUTH AFRICAN JOURNAL OF SCIENCE,"2,631",1.866,0.001800
37,Journal of Taibah University for Science,"1,126",1.863,0.001470
38,Journal of Radiation Research and Applied Sciences,"1,127",1.804,0.002280
39,ARABIAN JOURNAL FOR SCIENCE AND ENGINEERING,"5,213",1.711,0.007080
40,SCIENTIFIC AMERICAN,"6,539",1.629,0.003260
41,RENDICONTI LINCEI-SCIENZE FISICHE E NATURALI,908,1.603,0.001330
42,Proceedings of the Romanian Academy Series A-Mathematics Physics Technical Sciences Information Science,406,1.294,0.000690
43,ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS,"3,451",1.280,0.004200
44,Frontiers in Life Science,315,1.273,0.000630
45,Jove-Journal of Visualized Experiments,"15,933",1.163,0.034790
46,ISSUES IN SCIENCE AND TECHNOLOGY,469,1.000,0.000750
47,ADVANCES IN COMPLEX SYSTEMS,622,0.976,0.000380
48,SCIENTIST,301,0.939,0.000440
49,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES INDIA SECTION A-PHYSICAL SCIENCES,399,0.921,0.000610
50,Proceedings of the Estonian Academy of Sciences,573,0.883,0.000460
51,Iranian Journal of Science and Technology Transaction A-Science,719,0.875,0.000940
52,DISCRETE DYNAMICS IN NATURE AND SOCIETY,"1,872",0.870,0.002570
53,JOURNAL OF THE ROYAL SOCIETY OF NEW ZEALAND,848,0.862,0.000420
54,JOURNAL OF THE INDIAN INSTITUTE OF SCIENCE,419,0.742,0.000380
55,TRANSACTIONS OF THE ROYAL SOCIETY OF SOUTH AUSTRALIA,447,0.733,0.000130
56,DEFENCE SCIENCE JOURNAL,"1,041",0.730,0.000630
57,CURRENT SCIENCE,"10,769",0.725,0.005650
58,AMERICAN SCIENTIST,"2,428",0.710,0.001060
59,Sains Malaysiana,"1,762",0.643,0.001600
60,Kuwait Journal of Science,207,0.519,0.000340
61,HERALD OF THE RUSSIAN ACADEMY OF SCIENCES,329,0.445,0.000230
62,SCIENCEASIA,696,0.425,0.000410
63,ACTA SCIENTIARUM-TECHNOLOGY,372,0.422,0.000400
64,NATIONAL ACADEMY SCIENCE LETTERS-INDIA,491,0.416,0.000510
65,JOURNAL OF THE NATIONAL SCIENCE FOUNDATION OF SRI LANKA,285,0.378,0.000230
66,COMPTES RENDUS DE L ACADEMIE BULGARE DES SCIENCES,653,0.343,0.000470
67,Maejo International Journal of Science and Technology,215,0.326,0.000180
68,Chiang Mai Journal of Science,544,0.325,0.000600
69,ENDEAVOUR,570,0.303,0.000430
70,NEW SCIENTIST,797,0.272,0.000860
71,INTERDISCIPLINARY SCIENCE REVIEWS,300,0.196,0.000150
Copyright © 2020 Clarivate Analytics,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,
