Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SSCI Selected Categories: 'POLITICAL SCIENCE' Selected Category Scheme: WoS,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,POLITICAL COMMUNICATION,"2,455",5.912,0.004430
2,INTERNATIONAL ORGANIZATION,"7,374",5.000,0.007790
3,ENVIRONMENTAL POLITICS,"2,705",4.320,0.003990
4,AMERICAN JOURNAL OF POLITICAL SCIENCE,"12,364",4.271,0.023690
5,POLITICAL ANALYSIS,"3,867",4.232,0.007390
6,AMERICAN POLITICAL SCIENCE REVIEW,"14,997",4.183,0.016470
7,JOURNAL OF EUROPEAN PUBLIC POLICY,"4,912",4.177,0.008650
8,Annual Review of Political Science,"3,842",4.000,0.007640
9,BRITISH JOURNAL OF POLITICAL SCIENCE,"4,150",3.811,0.009290
10,POLICY STUDIES JOURNAL,"2,589",3.797,0.002920
11,Socio-Economic Review,"1,879",3.774,0.004930
12,Regulation & Governance,"1,136",3.375,0.002360
13,JOURNAL OF PUBLIC ADMINISTRATION RESEARCH AND THEORY,"5,222",3.289,0.004970
14,POLITICAL PSYCHOLOGY,"4,354",3.265,0.008150
15,Review of International Organizations,744,3.214,0.002360
16,COMPARATIVE POLITICAL STUDIES,"5,066",3.197,0.011450
17,POLITICAL BEHAVIOR,"2,625",3.169,0.006240
18,NEW POLITICAL ECONOMY,"1,471",3.157,0.003240
19,Global Environmental Politics,"1,465",3.091,0.002110
20,POLICY AND POLITICS,"1,178",3.069,0.002130
21,JOURNAL OF DEMOCRACY,"3,264",3.064,0.004900
22,Policy and Society,807,3.050,0.001390
23,POLITICAL GEOGRAPHY,"3,612",3.043,0.005850
24,GOVERNANCE-AN INTERNATIONAL JOURNAL OF POLICY ADMINISTRATION AND INSTITUTIONS,"2,364",2.899,0.003470
25,EUROPEAN JOURNAL OF POLITICAL RESEARCH,"3,805",2.830,0.006790
26,PARTY POLITICS,"2,525",2.817,0.006220
27,Policy and Internet,527,2.763,0.001310
28,JOURNAL OF PEACE RESEARCH,"4,891",2.704,0.008230
29,JOURNAL OF POLITICS,"8,136",2.658,0.017220
30,Geopolitics,"1,312",2.650,0.001720
31,JOURNAL OF CONFLICT RESOLUTION,"5,133",2.644,0.009740
32,International Journal of Press-Politics,970,2.612,0.001790
33,JCMS-Journal of Common Market Studies,"3,607",2.543,0.006410
34,British Journal of Politics & International Relations,"1,132",2.539,0.002740
35,International Environmental Agreements-Politics Law and Economics,860,2.511,0.001710
36,WORLD POLITICS,"4,186",2.500,0.003940
37,PUBLIC OPINION QUARTERLY,"6,243",2.494,0.005020
38,South European Society and Politics,918,2.472,0.002140
39,EUROPEAN UNION POLITICS,"1,539",2.438,0.002960
39,International Political Sociology,992,2.438,0.001730
41,Perspectives on Politics,"2,344",2.398,0.005870
42,European Political Science Review,687,2.327,0.002110
43,REVIEW OF INTERNATIONAL POLITICAL ECONOMY,"2,324",2.312,0.004240
44,GOVERNMENT AND OPPOSITION,"1,333",2.310,0.002240
45,International Studies Review,"1,173",2.232,0.002320
46,POST-SOVIET AFFAIRS,577,2.167,0.001510
47,Territory Politics Governance,403,2.163,0.001310
48,WEST EUROPEAN POLITICS,"3,238",2.151,0.006530
49,INTERNATIONAL STUDIES QUARTERLY,"4,353",2.146,0.007930
50,AFRICAN AFFAIRS,"1,551",2.145,0.002040
51,Swiss Political Science Review,499,2.065,0.001320
52,Journal of International Relations and Development,516,2.028,0.001090
53,International Theory,514,2.000,0.001430
54,ANNALS OF THE AMERICAN ACADEMY OF POLITICAL AND SOCIAL SCIENCE,"5,687",1.988,0.008000
55,LOCAL GOVERNMENT STUDIES,"1,087",1.909,0.001540
56,POLITICAL STUDIES,"3,246",1.901,0.004550
57,Contemporary Security Policy,435,1.880,0.000720
58,Political Science Research and Methods,608,1.874,0.004790
59,Critical Policy Studies,583,1.868,0.000990
60,Mediterranean Politics,509,1.844,0.001120
61,Economics & Politics,831,1.828,0.001130
62,PUBLIC ADMINISTRATION,"3,941",1.825,0.004570
63,JOURNAL OF STRATEGIC STUDIES,833,1.816,0.001410
64,TERRORISM AND POLITICAL VIOLENCE,"1,404",1.792,0.002090
65,Cooperation and Conflict,786,1.780,0.001380
66,INTERNATIONAL JOURNAL OF PUBLIC OPINION RESEARCH,"1,212",1.779,0.002120
67,Journal of Information Technology & Politics,523,1.771,0.001270
68,Journal of Public Policy,"1,078",1.750,0.001260
69,Democratization,"1,731",1.745,0.004110
70,Social Movement Studies,891,1.743,0.001910
71,European Security,420,1.698,0.000720
72,Politics & Gender,"1,007",1.650,0.002770
73,Politics and Governance,584,1.600,0.001730
74,POLITICS & SOCIETY,"1,597",1.548,0.001770
74,Review of Policy Research,921,1.548,0.001330
76,PARLIAMENTARY AFFAIRS,980,1.540,0.002110
77,PS-POLITICAL SCIENCE & POLITICS,"2,426",1.505,0.003580
78,Journal of Women Politics & Policy,312,1.500,0.000870
