Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SSCI Selected Categories: 'SOCIOLOGY' Selected Category Scheme: WoS,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,Annual Review of Sociology,"11,840",6.400,0.008370
2,AMERICAN SOCIOLOGICAL REVIEW,"20,691",6.372,0.014180
3,ANNALS OF TOURISM RESEARCH,"14,243",5.908,0.004870
4,Information Communication & Society,"4,141",4.559,0.008720
5,SOCIOLOGICAL METHODS & RESEARCH,"4,936",4.508,0.005110
6,Socio-Economic Review,"1,879",3.774,0.004930
7,SOCIOLOGY OF EDUCATION,"2,849",3.647,0.002060
8,AMERICAN JOURNAL OF SOCIOLOGY,"19,549",3.232,0.008150
9,WORK EMPLOYMENT AND SOCIETY,"2,992",3.171,0.003830
10,SOCIOLOGY-THE JOURNAL OF THE BRITISH SOCIOLOGICAL ASSOCIATION,"5,488",3.068,0.005730
11,Scandinavian Journal of Hospitality and Tourism,"1,032",3.037,0.000490
12,POPULATION AND DEVELOPMENT REVIEW,"4,041",2.909,0.003790
13,BRITISH JOURNAL OF SOCIOLOGY,"3,222",2.908,0.003360
14,WORK AND OCCUPATIONS,"1,457",2.875,0.001230
15,Cornell Hospitality Quarterly,"1,649",2.800,0.001340
16,GENDER & SOCIETY,"5,437",2.742,0.003850
17,SOCIOLOGICAL THEORY,"2,636",2.703,0.001990
18,SOCIOLOGY OF SPORT JOURNAL,"1,346",2.635,0.000800
19,SOCIOLOGY OF RELIGION,"1,017",2.611,0.000970
20,Annual Review of Law and Social Science,912,2.588,0.001860
21,Chinese Sociological Review,306,2.576,0.001170
22,SOCIOLOGIA RURALIS,"2,101",2.540,0.001630
23,Sociological Science,569,2.516,0.003670
24,RURAL SOCIOLOGY,"1,918",2.482,0.001170
25,AGRICULTURE AND HUMAN VALUES,"2,642",2.442,0.002870
26,International Political Sociology,992,2.438,0.001730
27,JOURNAL OF HEALTH AND SOCIAL BEHAVIOR,"8,743",2.418,0.003040
28,SOCIAL NETWORKS,"5,582",2.376,0.005030
29,SOCIAL PROBLEMS,"4,544",2.345,0.003030
30,European Journal of Social Theory,"1,393",2.333,0.001560
31,SOCIOLOGY OF HEALTH & ILLNESS,"4,502",2.317,0.004830
32,Journal of Immigrant & Refugee Studies,423,2.298,0.000900
33,Qualitative Research,"3,741",2.247,0.002720
34,Journal of Consumer Culture,"1,379",2.240,0.001590
35,JOURNAL OF MARRIAGE AND FAMILY,"11,141",2.215,0.007120
36,American Journal of Cultural Sociology,175,2.211,0.000940
37,SOCIOLOGICAL REVIEW,"3,437",2.158,0.003860
38,LANGUAGE IN SOCIETY,"1,753",2.040,0.001330
38,THEORY AND SOCIETY,"2,761",2.040,0.002150
40,International Review for the Sociology of Sport,"1,770",2.019,0.001650
41,MEDIA CULTURE & SOCIETY,"2,321",2.000,0.003270
41,Society and Mental Health,274,2.000,0.000660
43,INTERNATIONAL JOURNAL OF INTERCULTURAL RELATIONS,"3,504",1.981,0.002530
44,Sociology of Race and Ethnicity,424,1.972,0.002350
45,SOCIAL SCIENCE RESEARCH,"5,148",1.959,0.008120
46,SOCIAL FORCES,"8,018",1.953,0.006790
47,LEISURE SCIENCES,"2,141",1.952,0.000800
48,JOURNAL OF SPORT & SOCIAL ISSUES,"1,078",1.939,0.000870
49,GLOBAL NETWORKS-A JOURNAL OF TRANSNATIONAL AFFAIRS,"1,608",1.929,0.001940
50,EUROPEAN SOCIOLOGICAL REVIEW,"3,804",1.893,0.005670
51,SOCIAL INDICATORS RESEARCH,"10,499",1.874,0.010770
52,Health Sociology Review,552,1.860,0.000710
53,SOCIETY & NATURAL RESOURCES,"3,793",1.813,0.003500
54,YOUTH & SOCIETY,"1,694",1.794,0.001910
55,BRITISH JOURNAL OF SOCIOLOGY OF EDUCATION,"2,334",1.782,0.002460
56,RACE & CLASS,602,1.780,0.000680
