Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SCIE Selected Categories: 'STATISTICS & PROBABILITY' Selected Category Scheme: WoS,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,Journal of Statistical Software,"25,372",13.642,0.053040
2,Annual Review of Statistics and Its Application,515,5.095,0.004250
3,ECONOMETRICA,"35,846",3.992,0.040750
4,JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION,"36,843",3.989,0.032370
5,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY,"25,492",3.965,0.018040
6,STATISTICAL SCIENCE,"6,545",3.583,0.007500
7,R Journal,"1,811",3.312,0.007320
8,FUZZY SETS AND SYSTEMS,"17,605",3.305,0.008740
9,BIOSTATISTICS,"4,048",3.098,0.006780
10,STATISTICS AND COMPUTING,"4,519",3.035,0.011050
11,IEEE-ACM Transactions on Computational Biology and Bioinformatics,"3,542",3.015,0.006930
12,JOURNAL OF BUSINESS & ECONOMIC STATISTICS,"5,921",2.935,0.008680
13,CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS,"9,421",2.895,0.007790
14,MULTIVARIATE BEHAVIORAL RESEARCH,"7,112",2.750,0.007880
15,INTERNATIONAL STATISTICAL REVIEW,"1,807",2.740,0.002560
16,Bayesian Analysis,"2,000",2.696,0.006600
17,ANNALS OF STATISTICS,"21,466",2.650,0.027080
18,PROBABILISTIC ENGINEERING MECHANICS,"2,689",2.411,0.002430
19,BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY,"1,965",2.388,0.003480
20,ANNALS OF PROBABILITY,"5,892",2.377,0.017230
21,STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,"4,272",2.351,0.006810
22,JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS,"4,369",2.319,0.008900
23,STATISTICAL METHODS IN MEDICAL RESEARCH,"4,647",2.291,0.011850
24,Quality Technology and Quantitative Management,538,2.231,0.000830
25,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY,"3,234",2.210,0.005010
26,Econometrics Journal,966,2.139,0.002350
27,PROBABILITY THEORY AND RELATED FIELDS,"3,673",2.125,0.013710
28,TECHNOMETRICS,"8,759",2.091,0.003590
29,FINANCE AND STOCHASTICS,"1,235",2.048,0.003520
